Date,Open,High,Low,Close,Volume
2025-01-07,1163.05,1182.15,1162.05,1174.0,2010913.0
2025-01-08,1183.55,1183.55,1141.1,1152.3,2900996.0
2025-01-09,1156.7,1156.7,1129.95,1132.35,1884725.0
2025-01-10,1134.9,1137.4,1106.3,1112.2,1902237.0
2025-01-13,1100.9,1106.45,1058.95,1066.65,2273302.0
2025-01-14,1078.85,1131.4,1075.05,1117.1,6277854.0
2025-01-15,1125.0,1141.95,1118.5,1128.9,3135942.0
2025-01-16,1179.95,1190.0,1145.4,1150.75,3997547.0
2025-01-17,1163.0,1173.65,1145.5,1163.5,2464355.0
2025-01-20,1172.0,1172.0,1146.5,1148.7,1312101.0
2025-01-21,1150.0,1154.25,1104.0,1106.2,3134022.0
2025-01-22,1115.5,1118.05,1080.45,1102.25,1906032.0
2025-01-23,1102.25,1114.25,1089.65,1104.0,1968815.0
2025-01-24,1104.15,1115.0,1088.25,1094.15,2400140.0
2025-01-27,1085.1,1093.6,1067.55,1082.0,2371555.0
2025-01-28,1087.0,1096.65,1061.25,1080.7,2404643.0
2025-01-29,1085.0,1102.85,1074.5,1096.95,4603700.0
2025-01-30,1103.9,1118.5,1010.75,1077.05,14097862.0
2025-01-31,1085.0,1109.25,1074.0,1099.35,4659891.0
2025-02-01,1105.9,1117.5,1063.0,1084.1,4919797.0
2025-02-03,1084.0,1094.0,1055.0,1084.85,3961203.0
2025-02-04,1100.0,1127.9,1091.75,1125.1,4071098.0
2025-02-05,1126.0,1154.9,1123.55,1144.35,2979646.0
2025-02-06,1155.6,1169.4,1140.1,1164.05,6263278.0
2025-02-07,1160.0,1175.65,1132.8,1146.1,4079540.0
2025-02-10,1150.0,1158.85,1127.25,1144.2,2415627.0
2025-02-11,1144.2,1160.0,1114.05,1140.1,4901591.0
2025-02-12,1140.0,1144.2,1098.95,1128.95,2862155.0
2025-02-13,1133.8,1151.65,1106.05,1111.55,3763868.0
2025-02-14,1120.0,1120.0,1042.15,1062.7,4565339.0
2025-02-17,1058.95,1089.3,1040.0,1082.9,2518527.0
2025-02-18,1082.9,1087.9,1061.95,1085.15,1715308.0
2025-02-19,1061.6,1091.7,1054.55,1082.85,1792268.0
2025-02-20,1074.2,1126.0,1074.0,1111.7,3714173.0
2025-02-21,1111.7,1119.1,1080.0,1083.25,2360177.0
2025-02-24,1083.25,1083.25,1065.7,1070.4,1669749.0
2025-02-25,1074.6,1091.4,1067.75,1080.35,1665355.0
2025-02-27,1083.0,1087.95,1069.1,1078.95,1819078.0
2025-02-28,1074.0,1082.9,1059.2,1069.4,2849138.0
2025-03-03,1074.95,1081.0,1040.6,1053.05,2274285.0
2025-03-04,1047.95,1063.0,1036.5,1057.95,1788886.0
2025-03-05,1056.8,1118.65,1055.0,1112.7,3785743.0
2025-03-06,1118.2,1148.75,1101.85,1136.2,4020627.0
2025-03-07,1136.2,1156.95,1134.1,1144.5,2211623.0
2025-03-10,1146.0,1168.65,1136.95,1142.9,2430740.0
2025-03-11,1137.3,1145.9,1124.4,1135.0,2399428.0
2025-03-12,1139.0,1155.15,1105.0,1128.3,2842848.0
2025-03-13,1135.0,1139.45,1115.05,1119.2,1358839.0
2025-03-17,1114.8,1148.55,1111.2,1137.15,1489541.0
2025-03-18,1149.9,1161.0,1137.95,1158.8,1865040.0
2025-03-19,1160.0,1184.5,1158.8,1173.5,2416781.0
2025-03-20,1185.0,1186.95,1161.2,1177.45,1919013.0
2025-03-21,1182.0,1202.55,1172.05,1188.8,3127446.0
2025-03-24,1196.0,1210.85,1186.05,1200.8,2135192.0
2025-03-25,1205.0,1209.1,1174.55,1182.45,2090037.0
2025-03-26,1183.0,1202.2,1173.05,1181.6,1676081.0
2025-03-27,1182.0,1212.0,1175.0,1196.75,2004036.0
2025-03-28,1197.7,1205.0,1175.2,1182.95,1670913.0
2025-04-01,1179.0,1202.0,1168.05,1174.75,1584541.0
2025-04-02,1182.4,1198.95,1167.35,1195.45,1232853.0
2025-04-03,1170.25,1205.8,1170.25,1199.9,1300511.0
2025-04-04,1196.0,1200.1,1143.0,1148.35,1785093.0
2025-04-07,1049.95,1119.0,1041.5,1110.65,2192949.0
2025-04-08,1135.0,1155.65,1111.05,1131.35,2423486.0
2025-04-09,1133.85,1135.6,1112.0,1131.8,1537177.0
2025-04-11,1163.0,1170.3,1148.0,1164.55,3536245.0
2025-04-15,1200.0,1225.9,1179.0,1210.8,3176522.0
2025-04-16,1210.0,1235.5,1201.6,1232.9,1909731.0
2025-04-17,1232.9,1282.5,1218.6,1259.4,4280765.0
2025-04-21,1259.4,1260.0,1209.4,1243.1,6049182.0
2025-04-22,1249.6,1255.6,1227.0,1233.2,2932537.0
2025-04-23,1240.1,1242.8,1216.8,1239.1,2580999.0
2025-04-24,1238.0,1248.0,1231.6,1236.4,2133285.0
2025-04-25,1236.3,1243.4,1181.2,1193.0,3628854.0
2025-04-28,1188.1,1214.7,1184.1,1209.9,2646406.0
2025-04-29,1212.0,1223.9,1202.5,1216.4,2381980.0
2025-04-30,1215.1,1226.5,1203.9,1216.5,1824334.0
2025-05-02,1255.0,1295.0,1242.7,1267.1,12024229.0
2025-05-05,1290.0,1377.0,1285.7,1347.1,14191797.0
2025-05-06,1350.0,1356.3,1315.0,1320.8,3604276.0
2025-05-07,1298.8,1341.3,1298.7,1338.2,3269847.0
2025-05-08,1340.0,1366.9,1316.4,1333.1,5077662.0
2025-05-09,1300.0,1324.9,1292.6,1306.3,2979366.0
2025-05-12,1360.0,1375.0,1345.5,1362.1,3662785.0
2025-05-13,1360.6,1391.9,1347.1,1369.2,3356599.0
2025-05-14,1380.0,1381.9,1362.0,1371.8,1557379.0
2025-05-15,1375.6,1409.9,1371.9,1406.2,3706424.0
2025-05-16,1410.9,1424.9,1401.0,1407.4,2777119.0
2025-05-19,1407.5,1410.6,1392.0,1398.3,1317210.0
2025-05-20,1399.0,1407.3,1381.4,1384.6,2970441.0
2025-05-21,1380.0,1391.0,1370.2,1384.6,1993690.0
2025-05-22,1380.1,1408.0,1358.6,1371.4,3186493.0
2025-05-23,1383.1,1398.5,1375.0,1395.4,1715309.0
2025-05-26,1395.8,1410.6,1394.8,1400.2,1024835.0
2025-05-27,1397.0,1419.0,1385.4,1404.2,2571237.0
2025-05-28,1405.0,1427.8,1403.0,1411.0,2035398.0
2025-05-29,1421.0,1441.0,1410.5,1438.6,1662886.0
2025-05-30,1442.0,1457.5,1428.8,1432.8,2575127.0
2025-06-02,1432.8,1482.0,1425.3,1468.0,3164701.0
2025-06-03,1470.0,1472.0,1426.7,1432.3,3677200.0
2025-06-04,1432.3,1441.1,1423.1,1436.2,1446972.0
2025-06-05,1443.8,1467.7,1438.0,1456.7,2019939.0
2025-06-06,1456.7,1478.9,1453.7,1471.7,1269864.0
2025-06-09,1482.0,1484.0,1463.1,1467.1,1493331.0
2025-06-10,1472.0,1494.0,1469.8,1473.8,2125187.0
2025-06-11,1473.8,1476.0,1448.8,1456.4,2192673.0
2025-06-12,1459.8,1465.6,1440.1,1445.8,2192452.0
2025-06-13,1405.0,1423.8,1397.1,1405.0,3380550.0
2025-06-16,1389.0,1411.2,1375.0,1400.6,2823300.0
2025-06-17,1400.5,1414.8,1384.0,1392.3,1571621.0
2025-06-18,1387.0,1395.2,1365.2,1372.6,1732093.0
2025-06-19,1370.5,1372.6,1331.6,1338.0,2950283.0
2025-06-20,1338.0,1356.7,1334.6,1349.3,4541583.0
2025-06-23,1341.0,1364.9,1335.7,1354.8,3921155.0
2025-06-24,1395.1,1418.7,1385.1,1389.5,7635176.0
2025-06-25,1399.7,1404.0,1385.5,1393.1,1915989.0
2025-06-26,1399.0,1433.0,1395.2,1429.3,2877806.0
2025-06-27,1434.9,1456.8,1427.0,1440.2,2888390.0
2025-06-30,1440.8,1453.5,1432.7,1450.2,1586196.0
2025-07-01,1450.3,1459.8,1442.0,1447.0,2134736.0
2025-07-02,1458.0,1458.0,1440.0,1443.9,1219600.0
2025-07-03,1444.0,1451.1,1426.7,1431.1,978007.0
2025-07-04,1432.0,1439.9,1416.6,1424.4,608462.0
