Date,Open,High,Low,Close,Volume
2025-01-07,8870.0,8887.95,8735.1,8810.3,270785.0
2025-01-08,8776.0,8830.95,8612.0,8642.25,415288.0
2025-01-09,8719.95,8898.0,8692.1,8835.85,612457.0
2025-01-10,8832.45,8855.0,8642.1,8764.0,350859.0
2025-01-13,8704.5,8749.9,8551.0,8596.25,341577.0
2025-01-14,8620.0,8698.0,8525.0,8611.2,355464.0
2025-01-15,8623.9,8799.0,8561.3,8578.0,347402.0
2025-01-16,8621.0,8639.9,8549.7,8581.95,290855.0
2025-01-17,8565.85,8666.6,8531.3,8581.4,183057.0
2025-01-20,8600.0,8609.6,8462.7,8544.4,294136.0
2025-01-21,8582.45,8608.8,8412.1,8468.55,343149.0
2025-01-22,8480.8,8534.95,8395.0,8460.85,344305.0
2025-01-23,8439.15,8502.2,8375.65,8399.95,347894.0
2025-01-24,8414.4,8489.95,8360.0,8401.5,232317.0
2025-01-27,8378.05,8418.95,8290.35,8384.6,324406.0
2025-01-28,8426.45,8489.0,8361.35,8398.4,651069.0
2025-01-29,8420.15,8807.0,8420.15,8625.85,802600.0
2025-01-30,8659.95,8824.3,8602.5,8747.8,322587.0
2025-01-31,8800.0,8959.9,8744.05,8847.8,315913.0
2025-02-01,8887.9,9178.0,8806.3,9155.6,418755.0
2025-02-03,9150.0,9150.0,8886.55,8926.55,667412.0
2025-02-04,8950.0,9059.65,8877.6,8911.4,440468.0
2025-02-05,8930.0,8968.0,8895.0,8927.8,329075.0
2025-02-06,8922.0,8961.65,8811.0,8846.35,580590.0
2025-02-07,8890.55,9026.0,8851.05,8989.4,244178.0
2025-02-10,8989.4,9069.8,8845.85,8880.55,192650.0
2025-02-11,8830.0,8877.45,8732.55,8762.0,282926.0
2025-02-12,8732.0,8819.4,8647.0,8711.6,411042.0
2025-02-13,8715.05,8777.05,8651.45,8691.35,206920.0
2025-02-14,8700.0,8722.7,8419.9,8506.5,369356.0
2025-02-17,8494.0,8552.05,8382.65,8537.15,224417.0
2025-02-18,8510.1,8550.0,8390.45,8446.6,206278.0
2025-02-19,8440.05,8527.7,8405.05,8479.5,200819.0
2025-02-20,8459.95,8640.0,8459.9,8630.2,188845.0
2025-02-21,8550.0,8614.0,8450.0,8506.05,222132.0
2025-02-24,8450.5,8488.45,8341.6,8446.95,275998.0
2025-02-25,8450.0,8468.1,8365.05,8417.9,237383.0
2025-02-27,8360.1,8413.95,8183.4,8232.35,350992.0
2025-02-28,8234.75,8234.75,7886.3,7902.9,580155.0
2025-03-03,7934.95,7998.3,7679.6,7714.8,497052.0
2025-03-04,7652.1,7680.0,7317.05,7333.3,1078953.0
2025-03-05,7332.2,7443.3,7301.0,7420.3,749464.0
2025-03-06,7481.0,7500.0,7376.95,7462.25,917093.0
2025-03-07,7462.25,7624.0,7451.1,7574.75,942308.0
2025-03-10,7573.0,7573.0,7352.0,7383.4,495241.0
2025-03-11,7355.5,7515.95,7328.0,7499.95,412703.0
2025-03-12,7499.95,7569.0,7429.85,7515.05,529286.0
2025-03-13,7545.25,7545.25,7415.0,7504.7,454776.0
2025-03-17,7500.0,7611.0,7433.0,7486.05,286388.0
2025-03-18,7523.4,7642.1,7512.85,7613.4,354990.0
2025-03-19,7674.0,7767.65,7619.25,7721.85,409356.0
2025-03-20,7734.95,7951.95,7722.0,7920.0,606109.0
2025-03-21,7969.0,8151.0,7938.0,8067.85,703280.0
2025-03-24,8117.8,8213.95,8070.0,8125.55,453508.0
2025-03-25,8160.0,8167.95,7952.0,8006.0,824076.0
2025-03-26,8014.35,8047.45,7910.0,7977.1,391366.0
2025-03-27,7901.0,8039.1,7852.25,7974.3,651971.0
2025-03-28,7970.4,8024.9,7810.75,7878.85,392400.0
2025-04-01,7631.0,8048.0,7631.0,7993.05,283618.0
2025-04-02,7962.0,8083.8,7945.0,8072.95,237191.0
2025-04-03,7940.05,7940.05,7840.0,7912.2,470005.0
2025-04-04,7880.0,7889.85,7652.25,7685.1,461228.0
2025-04-07,7300.0,7357.55,7089.35,7306.8,469629.0
2025-04-08,7384.5,7529.85,7345.75,7498.05,259199.0
2025-04-09,7525.45,7631.3,7460.5,7572.3,261256.0
2025-04-11,7719.5,7779.95,7636.35,7768.85,290737.0
2025-04-15,8000.0,8040.0,7828.5,7995.5,387999.0
2025-04-16,7999.0,7999.5,7864.5,7961.5,294161.0
2025-04-17,7994.0,8055.0,7864.5,8018.0,274331.0
2025-04-21,8010.0,8275.0,7950.0,8247.5,285132.0
2025-04-22,8186.0,8186.5,8075.0,8141.0,394636.0
2025-04-23,8111.0,8294.5,8051.0,8261.5,598686.0
2025-04-24,8260.0,8328.0,8169.0,8201.5,322100.0
2025-04-25,8225.0,8259.5,7965.0,8034.0,508224.0
2025-04-28,8034.0,8134.5,7971.0,8096.0,282481.0
2025-04-29,8136.5,8169.5,8020.0,8078.5,228383.0
2025-04-30,8060.0,8077.5,7977.5,8030.0,447067.0
2025-05-02,8000.0,8086.0,7803.0,7836.5,455898.0
2025-05-05,7869.5,7964.5,7850.0,7920.5,250175.0
2025-05-06,7930.0,8044.0,7910.0,7945.5,270568.0
2025-05-07,7915.5,7978.0,7811.5,7849.0,459640.0
2025-05-08,7850.5,7869.5,7670.0,7724.5,461725.0
2025-05-09,7620.0,7743.5,7612.0,7682.5,248982.0
2025-05-12,7800.0,8048.5,7778.0,8039.5,296774.0
2025-05-13,8039.5,8109.0,7950.0,8063.0,407395.0
2025-05-14,8090.0,8208.0,8032.0,8102.5,225717.0
2025-05-15,8135.0,8366.0,8077.0,8326.0,497959.0
2025-05-16,8350.0,8495.0,8280.0,8482.5,483122.0
2025-05-19,8500.0,8861.5,8492.0,8851.0,858221.0
2025-05-20,8850.0,8850.0,8526.5,8565.0,449936.0
2025-05-21,8608.0,8765.0,8535.5,8687.5,572628.0
2025-05-22,8660.0,8775.5,8512.5,8733.5,916615.0
2025-05-23,8765.0,8838.0,8714.0,8741.0,321989.0
2025-05-26,8784.5,8978.5,8770.0,8958.5,440577.0
2025-05-27,8945.0,9004.5,8900.5,8963.0,401273.0
2025-05-28,8990.0,9007.0,8775.0,8849.0,312080.0
2025-05-29,8907.0,8940.0,8802.0,8874.5,330341.0
2025-05-30,8787.0,8865.0,8585.0,8607.0,1434828.0
2025-06-02,8621.5,8621.5,8415.0,8513.5,457251.0
2025-06-03,8513.0,8600.0,8490.0,8563.0,566074.0
2025-06-04,8550.5,8640.5,8527.0,8563.5,431009.0
2025-06-05,8614.0,8614.0,8509.5,8557.5,381642.0
2025-06-06,8608.0,8685.0,8541.0,8637.0,435024.0
2025-06-09,8680.0,8705.0,8599.5,8641.0,443544.0
2025-06-10,8645.0,8664.0,8574.0,8626.0,350288.0
2025-06-11,8635.5,8770.0,8610.0,8719.0,462124.0
2025-06-12,8732.5,8756.0,8540.0,8567.0,368162.0
2025-06-13,8460.0,8485.5,8350.0,8463.5,250910.0
2025-06-16,8486.5,8595.0,8451.0,8529.5,203598.0
2025-06-17,8490.0,8554.0,8455.0,8494.5,286217.0
2025-06-18,8505.0,8657.5,8440.5,8468.0,561114.0
2025-06-18,8530.0,8530.0,8530.0,8530.0,12000.0
2025-06-19,8480.0,8555.0,8451.5,8496.0,332303.0
2025-06-20,8315.0,8403.0,8250.0,8371.0,567646.0
2025-06-23,8275.0,8328.5,8255.0,8286.5,271619.0
2025-06-24,8363.0,8424.5,8331.5,8377.0,214129.0
2025-06-25,8407.0,8437.0,8371.0,8389.5,276176.0
2025-06-26,8370.0,8465.0,8361.0,8433.0,371685.0
2025-06-27,8468.0,8507.0,8414.0,8436.0,504248.0
2025-06-30,8470.0,8496.0,8360.0,8376.0,303799.0
2025-07-01,8370.0,8409.0,8300.0,8399.0,363782.0
2025-07-02,8350.0,8409.5,8314.5,8356.5,267604.0
2025-07-03,8378.0,8464.5,8350.0,8382.5,175619.0
2025-07-04,8382.0,8450.0,8364.5,8433.0,183720.0
