Date,Open,High,Low,Close,Volume
2025-01-07,287.1,290.5,280.7,282.8,8306436.0
2025-01-08,282.8,287.9,280.5,286.8,6037032.0
2025-01-09,287.0,287.85,279.05,280.0,6215902.0
2025-01-10,280.5,283.5,275.6,277.65,9073218.0
2025-01-13,271.25,274.7,264.25,265.3,10488655.0
2025-01-14,267.1,271.5,266.0,270.2,6710730.0
2025-01-15,273.9,275.9,265.25,267.0,13448052.0
2025-01-16,267.35,268.95,263.5,266.9,13754046.0
2025-01-17,268.8,275.2,267.25,273.6,9300647.0
2025-01-20,275.0,278.4,268.8,277.3,9623368.0
2025-01-21,278.55,287.0,278.15,280.2,15304149.0
2025-01-22,282.0,283.55,274.05,277.6,6301894.0
2025-01-23,283.0,285.0,270.3,271.25,18806324.0
2025-01-24,274.0,279.4,263.0,263.8,18480516.0
2025-01-27,263.7,263.7,258.35,261.3,10083126.0
2025-01-28,262.25,263.9,254.3,258.05,13321189.0
2025-01-29,256.95,257.95,251.5,257.0,9435973.0
2025-01-30,259.9,260.9,256.5,257.15,9410974.0
2025-01-31,257.9,262.0,254.25,261.1,8790578.0
2025-02-01,261.75,262.05,248.0,255.65,11464565.0
2025-02-03,250.95,251.8,242.2,249.55,21517136.0
2025-02-04,250.65,256.65,250.2,255.95,7000612.0
2025-02-05,260.25,265.65,260.25,261.25,10088345.0
2025-02-06,263.0,267.2,261.65,262.55,14058587.0
2025-02-07,262.1,264.9,260.05,264.3,6557480.0
2025-02-10,264.55,265.8,257.5,259.9,8052376.0
2025-02-11,259.5,259.75,253.75,255.15,6819100.0
2025-02-12,255.15,256.8,249.05,255.6,6568833.0
2025-02-13,256.2,260.1,255.0,255.75,5514711.0
2025-02-14,256.4,258.6,247.45,251.0,5205573.0
2025-02-17,251.0,253.55,246.35,252.3,5899597.0
2025-02-18,252.25,253.55,246.85,252.75,5534272.0
2025-02-19,251.0,256.45,249.55,255.6,6887175.0
2025-02-20,254.0,259.65,253.2,258.6,8155780.0
2025-02-21,258.0,259.4,250.65,251.3,9845416.0
2025-02-24,251.25,253.5,248.75,251.0,6773845.0
2025-02-25,251.9,252.9,247.7,248.45,4172676.0
2025-02-27,248.45,249.4,242.1,244.75,7376510.0
2025-02-28,244.05,244.05,236.15,237.3,14066882.0
2025-03-03,239.0,243.64,234.01,242.41,6864635.0
2025-03-04,241.0,250.94,236.1,249.92,7201075.0
2025-03-05,249.9,256.93,249.9,255.84,7802519.0
2025-03-06,260.0,265.95,259.0,265.04,12828381.0
2025-03-07,264.96,265.79,260.0,261.26,7057204.0
2025-03-10,261.26,265.96,256.06,256.93,8487911.0
2025-03-11,255.99,264.97,254.35,264.58,12306539.0
2025-03-12,266.5,272.0,263.4,266.32,10648004.0
2025-03-13,266.32,266.67,262.01,264.41,4545159.0
2025-03-17,261.11,263.69,258.31,261.42,6482585.0
2025-03-18,262.15,263.3,259.51,262.18,5548862.0
2025-03-19,263.51,266.49,263.01,265.26,4955027.0
2025-03-20,266.6,272.93,264.75,272.13,10789615.0
2025-03-21,272.2,285.85,271.06,279.66,26173451.0
2025-03-24,282.0,285.3,280.0,280.44,11376607.0
2025-03-25,280.57,283.96,277.18,279.11,12143699.0
2025-03-26,278.0,283.33,272.13,273.01,9475308.0
2025-03-27,273.39,279.85,272.18,276.06,107524873.0
2025-03-28,276.99,284.33,276.3,278.47,12687883.0
2025-04-01,275.0,287.0,275.0,284.6,20780255.0
2025-04-02,283.05,288.05,277.7,286.8,12058406.0
2025-04-03,283.0,291.4,283.0,286.8,6663148.0
2025-04-04,292.15,295.7,277.05,279.45,18852567.0
2025-04-07,262.0,279.1,262.0,273.7,15010047.0
2025-04-08,279.5,287.5,275.1,285.9,18994276.0
2025-04-09,288.7,290.65,279.6,287.95,14519066.0
2025-04-11,296.45,296.45,286.5,293.2,14955235.0
2025-04-15,296.8,296.8,291.1,294.4,8516322.0
2025-04-16,294.0,300.55,292.55,298.75,9064723.0
2025-04-17,298.0,301.75,295.45,298.35,7510897.0
2025-04-21,299.85,305.55,298.0,304.05,6455955.0
2025-04-22,305.0,308.5,302.65,306.1,7096150.0
2025-04-23,306.1,306.65,298.3,300.45,7400827.0
2025-04-24,302.95,305.5,300.3,302.0,5773985.0
2025-04-25,302.35,304.95,293.3,295.7,7773037.0
2025-04-28,293.1,310.95,293.1,310.0,14414879.0
2025-04-29,311.55,315.6,309.8,311.7,9522966.0
2025-04-30,319.0,322.45,309.0,310.05,21424437.0
2025-05-02,310.55,317.5,309.9,311.15,7751559.0
2025-05-05,317.0,325.85,316.0,321.05,16037327.0
2025-05-06,321.1,322.2,310.55,311.45,5444873.0
2025-05-07,307.0,317.5,307.0,316.9,7970668.0
2025-05-08,315.5,320.2,305.7,307.95,5918739.0
2025-05-09,302.55,307.35,301.35,306.85,4955934.0
2025-05-12,315.0,315.95,307.15,309.05,6844271.0
2025-05-13,309.05,310.6,304.5,306.9,7241358.0
2025-05-14,308.7,313.55,308.4,312.5,7733320.0
2025-05-15,314.0,320.2,313.5,317.0,7055032.0
2025-05-15,316.0,316.0,316.0,317.0,1.0
2025-05-16,316.0,321.0,315.8,320.1,6861786.0
2025-05-19,318.55,319.55,316.15,317.2,2956007.0
