Date,Open,High,Low,Close,Volume
2025-01-07,5250.1,5292.0,5166.5,5177.3,439721.0
2025-01-08,5212.2,5237.85,5134.3,5163.2,343162.0
2025-01-09,5186.3,5195.85,5105.0,5139.9,239408.0
2025-01-10,5150.0,5162.7,5040.0,5058.45,316803.0
2025-01-13,5010.0,5024.2,4925.6,4939.1,213093.0
2025-01-14,4950.05,5041.35,4950.05,5029.55,448429.0
2025-01-15,5037.9,5093.4,5004.2,5081.9,497259.0
2025-01-16,5112.05,5134.1,5034.9,5047.8,435315.0
2025-01-17,5005.0,5075.4,4998.05,5012.3,197564.0
2025-01-20,5012.35,5038.45,4930.0,5016.75,255315.0
2025-01-21,5032.35,5080.0,4960.0,4969.95,416551.0
2025-01-22,4980.0,5025.0,4953.2,5009.7,494734.0
2025-01-23,4996.6,5158.0,4977.8,5116.2,442186.0
2025-01-24,5134.0,5224.5,5115.05,5206.3,730641.0
2025-01-27,5190.0,5208.0,5115.6,5144.5,418597.0
2025-01-28,5160.0,5194.0,5090.0,5105.4,603950.0
2025-01-29,5080.55,5235.0,5080.55,5182.9,357310.0
2025-01-30,5182.9,5268.0,5140.05,5164.35,480830.0
2025-01-31,5165.0,5244.0,5145.0,5194.3,394118.0
2025-02-01,5214.8,5423.05,5130.1,5390.15,609534.0
2025-02-03,5575.0,5575.5,5406.9,5485.25,1330533.0
2025-02-04,5536.55,5554.15,5442.0,5450.1,591631.0
2025-02-05,5450.0,5470.0,5351.0,5417.2,442234.0
2025-02-06,5428.1,5445.05,5330.9,5342.0,361000.0
2025-02-07,5368.65,5399.0,5320.05,5372.55,604384.0
2025-02-10,5400.0,5444.9,5307.4,5335.35,631815.0
2025-02-11,5138.85,5139.5,4954.95,4972.35,2272410.0
2025-02-12,4950.0,5000.0,4834.4,4849.45,813864.0
2025-02-13,4850.65,4907.05,4790.0,4820.4,571526.0
2025-02-14,4831.1,4850.0,4686.05,4703.35,476473.0
2025-02-17,4700.0,4755.0,4646.0,4745.2,232211.0
2025-02-18,4769.0,4772.5,4684.45,4719.4,254026.0
2025-02-19,4700.0,4821.0,4677.05,4810.6,275722.0
2025-02-20,4780.0,4899.0,4777.0,4888.4,277284.0
2025-02-21,4888.0,4982.9,4855.0,4962.45,324027.0
2025-02-24,4936.0,5049.9,4915.55,5010.8,410180.0
2025-02-25,5028.0,5075.0,4978.05,4989.8,402917.0
2025-02-27,4960.5,5000.0,4889.85,4935.5,561804.0
2025-02-28,4910.05,4931.95,4755.0,4773.6,1076243.0
2025-03-03,4827.0,4928.0,4827.0,4906.6,503560.0
2025-03-04,4887.0,4887.0,4788.3,4815.1,638281.0
2025-03-05,4808.0,5004.0,4780.9,4988.3,551830.0
2025-03-06,4995.6,5107.1,4995.6,5094.4,648307.0
2025-03-07,5094.4,5131.4,5073.0,5100.7,590548.0
2025-03-10,5123.0,5130.0,4970.65,4990.55,316750.0
2025-03-11,4950.0,5010.0,4912.05,4985.55,228128.0
2025-03-12,4985.0,5039.9,4960.5,5017.45,235018.0
2025-03-13,5030.5,5047.5,4965.05,5015.25,265867.0
2025-03-17,4935.0,5076.95,4935.0,5050.25,287729.0
2025-03-18,5066.2,5145.0,5065.7,5127.4,328246.0
2025-03-19,5131.0,5139.6,5054.6,5100.9,417978.0
2025-03-20,5129.0,5258.95,5113.3,5229.35,491655.0
2025-03-21,5249.15,5327.95,5230.35,5305.95,414691.0
2025-03-24,5325.5,5456.0,5312.9,5424.2,316612.0
2025-03-25,5460.0,5499.85,5401.2,5431.25,324007.0
2025-03-26,5433.9,5495.0,5390.0,5403.3,384678.0
