Date,Open,High,Low,Close,Volume
2025-01-07,445.5,447.6,440.15,441.1,14294780.0
2025-01-08,443.0,452.05,437.1,449.55,13482926.0
2025-01-09,449.4,460.65,446.05,450.1,19732649.0
2025-01-10,449.95,452.0,442.5,444.9,9145729.0
2025-01-13,435.0,444.0,435.0,439.05,17799607.0
2025-01-14,441.0,441.5,435.85,436.6,18048459.0
2025-01-15,436.6,441.8,435.35,437.35,9786805.0
2025-01-16,438.05,439.45,431.1,432.85,15774070.0
2025-01-17,433.0,441.8,432.5,440.2,11270061.0
2025-01-20,439.0,441.2,436.0,437.7,8742771.0
2025-01-21,438.0,447.0,435.25,437.55,15686500.0
2025-01-22,439.9,441.95,436.55,437.0,9619648.0
2025-01-23,435.0,441.85,434.1,440.2,8888248.0
2025-01-24,439.4,445.0,439.05,441.6,9665384.0
2025-01-27,440.8,445.0,436.55,440.1,10480203.0
2025-01-28,440.0,441.8,434.5,435.45,20813072.0
2025-01-29,435.95,437.5,430.1,433.35,15158510.0
2025-01-30,433.0,438.0,431.45,436.2,22496695.0
2025-01-31,436.5,448.2,435.1,447.5,13546181.0
2025-02-01,448.0,471.5,439.55,462.55,30393007.0
2025-02-03,462.0,465.2,452.3,454.35,16991730.0
2025-02-04,458.0,460.35,448.75,455.15,18923681.0
2025-02-05,455.15,455.85,446.5,448.15,12836283.0
2025-02-06,450.0,450.0,438.2,441.1,17469129.0
2025-02-07,440.0,445.5,428.4,430.85,18875982.0
2025-02-10,427.0,433.3,426.5,427.2,12227140.0
2025-02-11,428.8,430.55,417.5,418.3,14288751.0
2025-02-12,413.15,413.8,407.6,409.9,13884574.0
2025-02-13,409.95,413.95,409.0,409.7,12989029.0
2025-02-14,411.75,416.2,408.4,410.25,14124236.0
2025-02-17,409.8,411.4,406.75,408.6,11975265.0
2025-02-18,408.0,410.85,404.0,405.25,12998403.0
2025-02-19,404.8,408.8,404.5,406.4,7079032.0
2025-02-20,399.95,403.9,396.2,402.05,15355585.0
