Date,Open,High,Low,Close,Volume
2025-01-07,4114.95,4140.35,4011.55,4028.3,2669054.0
2025-01-08,4034.9,4126.0,4017.75,4108.4,2181277.0
2025-01-09,4101.0,4137.75,4025.3,4038.85,2392472.0
2025-01-10,4200.0,4297.0,4170.0,4265.65,7894300.0
2025-01-13,4245.0,4322.95,4227.4,4291.1,4003771.0
2025-01-14,4302.0,4313.9,4219.05,4233.05,3441709.0
2025-01-15,4218.0,4256.45,4207.45,4249.6,1653474.0
2025-01-16,4260.0,4294.0,4191.85,4206.3,2637705.0
2025-01-17,4159.9,4160.6,4100.05,4124.3,1761466.0
2025-01-20,4145.8,4145.8,4068.1,4077.8,1287799.0
2025-01-21,4095.3,4111.0,4030.0,4035.85,1971591.0
2025-01-22,4050.0,4163.15,4044.2,4156.6,2409223.0
2025-01-23,4168.0,4191.35,4140.05,4145.45,1822998.0
2025-01-23,4160.7,4160.7,4160.7,4160.7,163862.0
2025-01-24,4104.0,4178.0,4104.0,4152.35,1910099.0
2025-01-27,4102.0,4156.35,4041.05,4065.15,1551782.0
2025-01-28,4070.8,4102.0,4028.3,4040.3,2468272.0
2025-01-29,4054.0,4107.85,4054.0,4099.8,1217089.0
2025-01-30,4099.9,4129.9,4058.5,4100.05,1531251.0
2025-01-31,4110.0,4128.45,4085.25,4112.4,1492943.0
2025-02-01,4113.0,4135.9,4056.0,4073.15,437172.0
2025-02-03,4030.9,4077.0,3998.7,4068.65,1265713.0
2025-02-04,4083.7,4118.85,4066.05,4107.05,2547132.0
2025-02-05,4150.0,4150.0,4076.0,4091.1,1693912.0
2025-02-06,4105.4,4139.5,4051.55,4082.75,2284536.0
2025-02-07,4090.0,4090.0,4008.0,4029.4,1548940.0
2025-02-10,4040.0,4052.0,4014.35,4036.95,1339511.0
2025-02-11,4018.4,4040.0,3955.0,3963.55,1810908.0
2025-02-12,3971.1,4021.75,3940.15,3950.15,1678002.0
2025-02-13,3968.0,3984.45,3902.25,3910.15,2277310.0
2025-02-14,3925.0,3948.0,3900.0,3934.85,1681975.0
2025-02-17,3856.5,3934.0,3856.2,3904.5,1799806.0
2025-02-18,3898.4,3924.4,3864.5,3873.2,2149879.0
2025-02-19,3872.2,3874.95,3768.15,3784.1,4366672.0
2025-02-20,3761.5,3788.0,3751.3,3779.4,2888572.0
2025-02-21,3776.1,3817.0,3775.0,3786.0,1833931.0
2025-02-24,3743.15,3763.2,3670.0,3675.6,2508516.0
2025-02-25,3625.0,3658.0,3621.25,3629.55,4101954.0
2025-02-27,3611.7,3638.0,3600.7,3612.55,3823856.0
2025-02-28,3584.95,3600.0,3457.0,3483.25,7085018.0
2025-03-03,3485.0,3523.25,3476.15,3493.05,4990439.0
2025-03-04,3474.0,3551.0,3464.3,3532.05,2797737.0
2025-03-05,3520.85,3600.35,3520.85,3547.05,2501894.0
2025-03-06,3557.0,3609.45,3536.1,3601.6,2786513.0
2025-03-07,3600.0,3625.0,3574.4,3611.2,2051315.0
2025-03-10,3606.5,3622.1,3582.6,3589.65,1004626.0
2025-03-11,3558.0,3588.75,3537.65,3575.3,1995450.0
2025-03-12,3565.0,3569.25,3486.85,3506.2,3174167.0
2025-03-13,3502.3,3524.3,3484.1,3511.05,1693004.0
2025-03-17,3489.0,3530.45,3477.35,3497.7,2690906.0
2025-03-18,3502.35,3556.95,3478.45,3552.45,3069109.0
2025-03-19,3547.0,3547.0,3462.75,3497.1,3051244.0
2025-03-20,3512.0,3578.95,3512.0,3563.15,2845192.0
2025-03-21,3475.0,3616.25,3465.0,3578.1,4161925.0
2025-03-24,3600.0,3649.75,3566.6,3628.95,1834751.0
2025-03-25,3645.0,3710.0,3638.0,3657.75,3135390.0
2025-03-26,3647.75,3680.5,3625.85,3635.8,1734499.0
2025-03-27,3614.85,3663.0,3610.5,3651.2,2528474.0
2025-03-28,3651.0,3660.95,3591.9,3606.15,2051919.0
2025-04-01,3572.7,3584.0,3525.0,3550.8,2618493.0
2025-04-02,3544.0,3564.1,3530.05,3543.95,1764313.0
2025-04-03,3491.0,3502.0,3396.15,3403.15,4537821.0
2025-04-04,3362.6,3399.65,3295.5,3299.4,5317367.0
2025-04-07,3100.0,3291.4,3056.05,3274.05,6623955.0
2025-04-08,3302.05,3349.0,3255.3,3292.95,5557558.0
2025-04-09,3260.55,3270.0,3212.05,3246.6,2990265.0
2025-04-11,3289.55,3298.95,3206.0,3231.5,7108961.0
2025-04-15,3314.4,3314.4,3238.6,3248.2,3512160.0
2025-04-16,3248.2,3278.1,3229.0,3273.8,2384391.0
2025-04-17,3245.5,3303.6,3218.0,3298.9,2932346.0
2025-04-21,3290.1,3354.0,3284.1,3321.6,2432946.0
2025-04-22,3322.6,3333.9,3295.0,3314.4,2710498.0
2025-04-23,3365.0,3420.9,3337.3,3413.0,3543923.0
2025-04-24,3401.1,3412.5,3387.7,3401.6,2252175.0
2025-04-25,3420.0,3477.8,3405.0,3448.0,2742991.0
2025-04-28,3435.0,3457.8,3405.0,3443.5,1593296.0
2025-04-29,3455.0,3495.0,3430.4,3472.5,1578332.0
2025-04-30,3472.0,3509.9,3366.0,3453.7,2809332.0
2025-05-02,3472.0,3491.5,3420.0,3444.7,2115624.0
2025-05-05,3450.0,3504.5,3446.4,3454.3,1284443.0
2025-05-06,3460.0,3473.0,3437.0,3460.0,1324763.0
2025-05-07,3420.6,3459.5,3420.6,3445.1,1477128.0
2025-05-08,3448.0,3477.0,3428.7,3448.9,2543591.0
2025-05-09,3399.0,3446.2,3398.1,3440.3,2531757.0
2025-05-12,3505.0,3630.5,3502.2,3620.4,2228678.0
2025-05-13,3620.4,3623.0,3510.5,3515.0,3062887.0
2025-05-14,3521.0,3561.0,3508.6,3548.7,2119499.0
2025-05-15,3564.0,3600.0,3514.1,3579.9,3548330.0
2025-05-16,3593.9,3593.9,3546.1,3561.3,1666727.0
2025-05-19,3550.0,3550.0,3503.7,3518.8,2537377.0
2025-05-20,3531.8,3558.0,3494.0,3498.3,2038374.0
2025-05-21,3508.0,3537.0,3498.3,3525.8,1440153.0
2025-05-22,3495.0,3497.8,3451.3,3477.0,2034383.0
2025-05-23,3477.0,3535.0,3465.6,3514.6,1274331.0
2025-05-26,3521.0,3545.0,3510.1,3537.3,967470.0
2025-05-27,3532.0,3540.0,3483.1,3498.7,2467680.0
2025-05-28,3520.0,3529.0,3493.0,3497.7,1222933.0
2025-05-29,3504.7,3532.5,3486.5,3498.1,3188072.0
2025-05-30,3490.0,3506.7,3453.1,3463.4,3404365.0
2025-06-02,3450.0,3460.0,3418.6,3449.8,1877585.0
2025-06-03,3446.0,3473.5,3400.5,3405.2,2848125.0
2025-06-04,3389.0,3394.8,3370.0,3380.9,2544807.0
2025-06-05,3409.0,3409.0,3363.7,3371.1,3584683.0
2025-06-06,3371.1,3390.9,3358.7,3384.2,2070390.0
2025-06-09,3400.0,3434.0,3390.9,3421.9,1718678.0
2025-06-10,3440.0,3485.8,3423.2,3462.9,2419874.0
2025-06-11,3470.0,3489.0,3449.1,3471.9,2847013.0
2025-06-12,3471.9,3474.7,3423.2,3434.2,4060134.0
2025-06-13,3393.2,3450.5,3393.2,3445.7,2178493.0
2025-06-16,3440.0,3509.0,3426.2,3496.3,1934088.0
2025-06-17,3510.0,3520.0,3488.1,3515.3,2111940.0
2025-06-18,3519.1,3538.0,3443.1,3451.4,2696327.0
2025-06-19,3450.0,3451.0,3413.0,3424.0,2672768.0
2025-06-20,3425.0,3446.3,3410.9,3435.7,2351248.0
2025-06-23,3415.0,3425.0,3370.0,3393.6,3123421.0
2025-06-24,3434.6,3442.1,3382.0,3390.4,3403048.0
2025-06-25,3407.3,3450.0,3400.0,3444.8,1757699.0
2025-06-26,3444.8,3451.4,3415.3,3441.8,2879106.0
2025-06-27,3455.0,3466.4,3431.0,3441.1,1778433.0
2025-06-30,3439.9,3464.9,3430.0,3462.0,1468351.0
2025-07-01,3455.0,3485.0,3413.5,3429.7,2375183.0
2025-07-02,3487.2,3489.9,3420.0,3423.3,3090585.0
2025-07-03,3430.0,3435.3,3397.6,3400.8,2531870.0
2025-07-04,3408.0,3427.0,3390.1,3419.8,1109320.0
