Date,Open,High,Low,Close,Volume
2025-01-07,4804.95,4885.8,4804.95,4832.25,450200.0
2025-01-08,4850.0,4871.9,4760.15,4859.9,371105.0
2025-01-09,4860.55,5050.0,4840.05,4926.3,832814.0
2025-01-10,4928.5,4958.4,4881.65,4939.2,305669.0
2025-01-13,4922.2,4997.9,4906.0,4927.05,448698.0
2025-01-14,4948.95,4950.0,4850.1,4862.4,283367.0
2025-01-15,4871.0,4937.2,4804.1,4877.0,242422.0
2025-01-16,4886.05,4900.0,4743.1,4844.55,454269.0
2025-01-17,4846.1,4923.5,4815.7,4854.4,492847.0
2025-01-20,4860.0,4908.0,4836.65,4885.4,155962.0
2025-01-21,4885.4,4944.15,4850.1,4903.85,377457.0
2025-01-22,4930.0,4975.2,4883.2,4956.7,460132.0
2025-01-23,4944.15,5042.95,4883.2,5012.6,361082.0
2025-01-24,5037.7,5108.0,5013.15,5101.55,509954.0
2025-01-27,5103.65,5215.0,5103.05,5176.25,937878.0
2025-01-28,5181.15,5216.25,5018.2,5060.75,456912.0
2025-01-29,5100.0,5100.0,4991.0,5037.05,298533.0
2025-01-30,5037.1,5105.0,5034.95,5075.35,354016.0
2025-01-31,5104.0,5170.0,5040.1,5129.65,316771.0
2025-02-01,5160.0,5379.0,5051.0,5201.35,634040.0
2025-02-03,5232.6,5232.6,5015.0,5105.55,517520.0
2025-02-04,5118.0,5118.0,4990.3,5028.35,434664.0
2025-02-05,5058.0,5058.0,4924.35,4932.65,384948.0
2025-02-06,4932.1,4978.8,4906.05,4956.05,466931.0
2025-02-07,5010.0,5075.4,4844.0,4870.5,701024.0
2025-02-10,4915.0,5009.0,4877.0,4909.65,625074.0
2025-02-11,4910.95,4939.55,4854.0,4904.05,279638.0
2025-02-12,4899.05,4932.95,4843.55,4918.3,336331.0
2025-02-13,4915.95,4950.75,4867.25,4888.7,341650.0
2025-02-14,4891.7,4955.0,4873.75,4939.65,489241.0
2025-02-17,4934.5,4969.0,4911.9,4963.7,275352.0
2025-02-18,4963.7,4967.05,4859.4,4891.2,314216.0
2025-02-19,4881.0,4899.0,4812.35,4837.5,215919.0
2025-02-20,4819.0,4847.0,4792.0,4832.4,319761.0
2025-02-21,4850.0,4850.2,4783.55,4831.9,334003.0
2025-02-24,4750.0,4829.5,4702.0,4804.3,259886.0
2025-02-25,4785.9,4853.7,4760.0,4798.05,479647.0
2025-02-27,4798.05,4860.7,4766.5,4782.8,386556.0
2025-02-28,4782.8,4786.45,4553.8,4595.45,676501.0
2025-03-03,4595.45,4672.0,4548.15,4596.6,412033.0
2025-03-04,4530.05,4581.0,4506.0,4575.2,321501.0
2025-03-05,4579.9,4735.2,4560.0,4722.15,350741.0
2025-03-06,4725.0,4799.9,4654.65,4702.55,460852.0
2025-03-07,4690.0,4765.0,4660.0,4748.25,191644.0
2025-03-10,4749.0,4823.95,4710.05,4737.7,290019.0
2025-03-11,4720.0,4795.0,4711.55,4762.05,147357.0
2025-03-12,4769.9,4801.5,4712.4,4792.05,223033.0
2025-03-13,4790.0,4838.0,4712.8,4728.25,284758.0
2025-03-17,4600.0,4743.05,4600.0,4674.9,322411.0
2025-03-18,4695.65,4782.9,4682.7,4768.3,242447.0
2025-03-19,4797.0,4797.0,4673.3,4707.1,469240.0
2025-03-20,4741.9,4840.0,4715.0,4831.1,265168.0
2025-03-21,4840.0,4853.15,4786.55,4814.0,304441.0
2025-03-24,4816.4,4832.8,4770.25,4796.85,173845.0
2025-03-25,4792.0,4865.0,4738.6,4845.2,422209.0
2025-03-26,4846.9,4876.6,4794.05,4849.7,453242.0
2025-03-27,4830.0,4925.4,4780.05,4841.2,6750074.0
2025-03-28,4861.95,5028.65,4861.95,4936.9,415586.0
2025-04-01,4890.1,4965.0,4882.55,4900.8,557968.0
2025-04-02,4905.8,5055.0,4900.8,5037.4,459267.0
2025-04-03,4990.05,5090.0,4982.0,5073.45,339959.0
2025-04-04,5033.45,5150.0,4977.85,5023.4,722283.0
2025-04-07,4622.0,5072.0,4605.05,5055.85,841464.0
2025-04-08,5062.45,5188.1,5038.65,5179.35,303185.0
2025-04-09,5149.5,5352.1,5149.5,5339.45,549745.0
2025-04-11,5400.75,5400.75,5306.5,5350.2,304650.0
2025-04-15,5428.9,5432.0,5309.0,5391.3,446075.0
2025-04-16,5350.5,5442.0,5350.5,5416.2,215423.0
2025-04-17,5420.0,5469.3,5396.8,5454.6,186873.0
2025-04-21,5480.5,5480.5,5370.0,5393.2,201975.0
2025-04-22,5440.0,5485.0,5384.0,5435.5,286928.0
2025-04-23,5435.5,5549.0,5406.3,5544.3,266881.0
2025-04-24,5550.0,5622.7,5427.7,5461.9,339754.0
2025-04-25,5462.1,5521.0,5362.0,5420.5,244513.0
2025-04-28,5413.0,5481.8,5403.3,5428.8,107666.0
2025-04-29,5428.8,5535.0,5405.5,5468.3,294207.0
2025-04-30,5484.0,5546.8,5386.1,5438.9,284371.0
2025-05-02,5380.0,5407.0,5276.5,5307.5,319097.0
2025-05-05,5319.0,5380.0,5310.0,5359.0,97149.0
2025-05-06,5350.0,5415.5,5311.0,5393.5,175899.0
2025-05-07,5361.0,5395.0,5318.5,5351.0,168716.0
2025-05-08,5351.0,5480.0,5314.5,5391.0,265391.0
2025-05-09,5374.5,5503.5,5354.5,5436.0,476782.0
2025-05-12,5540.0,5621.5,5415.0,5608.5,192712.0
2025-05-13,5629.5,5640.0,5462.0,5485.0,366566.0
2025-05-14,5456.0,5585.5,5437.5,5484.0,389963.0
2025-05-15,5509.0,5529.5,5457.5,5465.0,462518.0
2025-05-16,5472.0,5527.0,5452.5,5501.5,154274.0
2025-05-19,5501.5,5547.5,5460.0,5519.5,147864.0
2025-05-20,5518.0,5550.0,5420.0,5428.0,275067.0
2025-05-21,5435.0,5534.0,5416.5,5493.5,166304.0
2025-05-22,5493.5,5495.5,5415.0,5437.5,211388.0
2025-05-23,5459.0,5499.0,5406.0,5486.5,100229.0
2025-05-26,5500.0,5547.5,5489.0,5525.0,140009.0
2025-05-27,5525.0,5540.0,5475.0,5496.5,166840.0
2025-05-28,5495.0,5505.5,5410.0,5473.0,321303.0
2025-05-29,5502.0,5533.5,5452.5,5495.5,201350.0
2025-05-30,5495.5,5532.0,5437.5,5510.5,401901.0
2025-06-02,5515.0,5722.0,5511.5,5605.0,625172.0
2025-06-03,5605.0,5639.0,5545.5,5575.5,166545.0
2025-06-04,5580.0,5595.0,5520.5,5542.0,334358.0
2025-06-05,5542.0,5611.0,5520.5,5600.0,218004.0
2025-06-06,5606.5,5645.5,5555.0,5607.5,152475.0
2025-06-09,5639.0,5721.0,5588.5,5697.0,174499.0
2025-06-10,5731.0,5731.0,5657.0,5667.0,456712.0
2025-06-11,5660.0,5700.0,5634.0,5650.0,138866.0
2025-06-12,5698.0,5698.0,5560.0,5569.5,305696.0
2025-06-13,5509.0,5593.5,5425.0,5570.0,324985.0
2025-06-16,5552.0,5572.0,5514.5,5560.5,239006.0
2025-06-17,5550.0,5597.0,5530.0,5568.5,277917.0
2025-06-18,5575.0,5619.5,5545.0,5572.5,220971.0
2025-06-19,5587.0,5609.5,5522.5,5558.0,114523.0
2025-06-20,5564.0,5600.0,5511.0,5587.0,395396.0
2025-06-23,5551.0,5589.0,5450.5,5569.5,221233.0
2025-06-24,5600.0,5638.0,5555.5,5617.0,183157.0
2025-06-25,5630.0,5734.5,5610.5,5708.0,282474.0
2025-06-26,5725.0,5840.0,5710.0,5828.0,456290.0
2025-06-27,5849.0,5849.0,5748.0,5794.5,350140.0
2025-06-30,5800.0,5860.0,5761.0,5851.0,257865.0
2025-07-01,5865.0,5869.5,5721.0,5743.5,178343.0
2025-07-02,5747.5,5832.5,5677.5,5790.0,300622.0
2025-07-03,5799.5,5887.5,5781.0,5794.5,224236.0
2025-07-04,5819.5,5844.0,5756.5,5771.5,145106.0
