Date,Open,High,Low,Close,Volume
2025-01-07,606.0,620.7,605.5,619.85,2813892.0
2025-01-08,620.05,623.25,615.1,618.0,1861556.0
2025-01-09,616.1,621.1,609.9,612.2,2141675.0
2025-01-10,610.05,614.9,603.0,608.65,1966939.0
2025-01-13,607.0,608.45,597.3,599.75,2105862.0
2025-01-14,605.0,608.05,594.85,600.45,3122102.0
2025-01-15,604.5,604.5,584.3,594.2,5633587.0
2025-01-16,630.1,663.6,628.95,641.4,24198675.0
2025-01-17,640.0,649.95,633.4,642.2,3671715.0
2025-01-20,642.0,644.05,630.55,634.05,1956252.0
2025-01-21,636.0,637.05,622.9,624.0,1820019.0
2025-01-22,629.0,629.0,612.9,618.2,2296057.0
2025-01-23,618.0,625.2,612.6,621.0,1673008.0
2025-01-24,620.55,625.0,613.3,621.1,1793560.0
2025-01-27,618.0,619.75,606.4,610.2,1730503.0
2025-01-28,610.95,614.0,600.1,611.55,2662789.0
2025-01-29,612.0,629.7,605.15,628.35,2005819.0
2025-01-30,624.7,636.1,624.0,634.15,2899445.0
2025-01-31,638.0,641.0,630.15,638.05,1012392.0
2025-02-01,639.05,667.55,595.25,625.5,10039413.0
2025-02-03,615.5,630.35,610.0,621.4,3293387.0
2025-02-04,627.95,628.0,615.4,625.9,3244955.0
2025-02-05,626.0,639.0,624.7,627.85,4467504.0
2025-02-06,626.45,638.4,623.15,631.95,4837012.0
2025-02-07,631.95,637.5,624.55,635.7,2538330.0
2025-02-10,636.0,640.8,626.75,635.7,3394573.0
2025-02-11,632.25,634.85,612.95,618.6,2327875.0
2025-02-12,618.1,636.9,608.15,629.15,3378279.0
2025-02-13,629.15,640.0,627.65,629.6,2808139.0
2025-02-14,630.0,633.9,622.5,626.2,1693078.0
2025-02-17,626.2,627.0,613.95,623.25,1860572.0
2025-02-18,624.0,626.0,611.35,618.95,1887686.0
2025-02-19,617.0,624.0,613.8,622.85,2007325.0
2025-02-20,623.0,630.0,616.3,620.0,2881981.0
2025-02-21,617.8,623.9,613.45,622.85,1627631.0
2025-02-24,616.0,621.5,614.5,617.0,983443.0
2025-02-25,617.05,623.3,613.1,622.15,1606709.0
2025-02-27,625.0,627.85,615.0,618.4,1831493.0
2025-02-28,614.0,616.95,600.35,608.5,5013148.0
2025-03-03,608.5,620.15,607.0,618.0,3624490.0
2025-03-04,613.1,620.8,609.3,616.5,3262295.0
2025-03-05,613.0,625.0,612.0,621.2,2661830.0
2025-03-06,621.2,628.0,612.6,618.25,2491123.0
2025-03-07,618.3,633.0,618.15,625.2,3169440.0
2025-03-10,625.05,633.0,623.0,625.9,2316148.0
2025-03-11,623.0,637.55,614.65,636.95,2677293.0
2025-03-12,636.95,639.75,627.1,632.0,2704337.0
2025-03-13,631.0,632.3,619.45,622.4,2211232.0
2025-03-17,622.4,631.35,622.4,629.8,1075113.0
2025-03-18,631.15,641.65,629.15,640.55,2094678.0
2025-03-19,642.0,665.9,640.65,664.55,2470532.0
2025-03-20,665.0,678.35,659.1,674.35,4425855.0
2025-03-21,677.8,681.1,669.05,679.6,3725271.0
2025-03-24,679.6,687.45,675.6,679.9,1401023.0
2025-03-25,683.0,686.0,671.35,673.1,2019661.0
2025-03-26,673.1,680.4,664.85,668.4,2231203.0
2025-03-27,668.4,684.6,667.05,681.9,5951034.0
2025-03-28,683.9,688.25,677.95,685.7,3116601.0
2025-04-01,683.0,698.05,680.0,692.9,4620146.0
2025-04-02,693.3,701.75,690.2,696.15,3047499.0
2025-04-03,688.5,697.8,675.0,692.9,1353987.0
2025-04-04,687.0,695.0,684.15,689.05,3867188.0
2025-04-07,663.75,680.0,651.7,665.95,3861746.0
2025-04-08,674.5,689.75,668.3,685.75,3279965.0
2025-04-09,685.5,691.6,679.15,684.8,3054715.0
2025-04-11,683.4,690.4,682.15,685.55,3264303.0
2025-04-15,691.15,707.5,690.3,704.7,2306442.0
2025-04-16,700.2,721.35,700.2,716.05,3452538.0
2025-04-17,716.05,723.75,709.55,720.05,3105731.0
2025-04-21,725.0,725.0,703.6,712.2,6168127.0
2025-04-22,718.0,721.85,708.55,712.55,2669384.0
2025-04-23,715.4,715.9,705.1,709.1,2091384.0
2025-04-24,713.0,716.0,705.0,708.4,3814638.0
2025-04-25,711.45,733.5,692.65,704.55,3714671.0
2025-04-28,702.7,714.5,698.1,710.85,1944250.0
2025-04-29,715.9,719.0,707.0,715.05,2545118.0
2025-04-30,712.1,749.8,712.1,743.7,8732964.0
2025-05-02,743.7,749.35,726.45,727.75,3286801.0
2025-05-05,730.1,741.35,727.3,738.9,2761798.0
2025-05-06,738.9,742.65,718.8,722.6,1498360.0
2025-05-07,719.0,728.85,718.0,723.9,1657343.0
2025-05-08,718.5,726.2,715.5,722.95,3057761.0
2025-05-09,709.0,717.0,708.4,713.6,3210705.0
2025-05-12,720.0,737.0,720.0,734.6,1488045.0
2025-05-13,735.4,742.4,732.15,735.05,1445358.0
2025-05-14,740.0,750.0,734.15,741.7,2058831.0
2025-05-15,743.05,753.6,734.0,751.2,3338741.0
2025-05-16,750.0,754.0,747.05,750.55,1426234.0
2025-05-19,747.0,756.0,746.35,750.95,1187450.0
2025-05-20,748.55,757.65,745.75,747.05,2191829.0
2025-05-21,748.0,761.0,746.0,759.7,1928533.0
2025-05-22,759.7,762.05,752.2,755.85,2391952.0
2025-05-23,755.8,781.35,752.05,780.4,4511523.0
2025-05-26,784.3,786.15,777.7,780.0,2343463.0
2025-05-27,780.0,781.2,769.7,775.8,3472288.0
2025-05-28,779.8,790.75,776.05,789.45,4163057.0
2025-05-29,788.0,791.1,778.65,780.9,2916417.0
2025-05-30,780.9,786.75,775.35,776.85,3184086.0
2025-06-02,771.75,782.5,762.5,766.7,3456222.0
2025-06-03,748.4,768.5,747.0,757.9,3357675.0
2025-06-04,754.0,766.4,754.0,758.8,2322495.0
2025-06-05,759.0,768.15,755.5,761.6,1638871.0
2025-06-06,764.4,764.4,750.55,755.1,1215092.0
2025-06-09,755.1,765.85,745.05,760.4,3151657.0
2025-06-10,764.15,765.6,750.2,762.45,2167862.0
2025-06-11,762.2,772.25,760.25,764.2,1530367.0
2025-06-12,765.1,769.0,752.65,754.5,1600355.0
2025-06-13,743.9,753.95,740.25,752.85,1490695.0
2025-06-16,750.85,773.3,750.1,770.55,2304692.0
2025-06-17,773.9,777.85,766.4,773.95,1899985.0
2025-06-18,774.0,774.45,765.0,766.2,1059077.0
2025-06-19,766.0,767.95,753.7,761.85,3059158.0
2025-06-20,760.8,781.2,758.0,778.95,5256299.0
2025-06-23,769.95,784.0,769.0,774.15,1848140.0
2025-06-24,779.5,787.05,777.3,779.7,1965197.0
2025-06-25,780.05,787.65,778.55,785.1,2733266.0
2025-06-26,789.0,802.15,785.6,799.45,4290163.0
2025-06-27,801.0,811.2,794.0,806.95,17236651.0
2025-06-30,809.0,820.75,801.55,814.3,2971593.0
2025-07-01,814.3,818.9,806.05,809.9,2596888.0
2025-07-02,808.5,812.6,788.0,789.7,3248677.0
2025-07-03,788.95,789.05,777.2,785.85,3442861.0
2025-07-04,783.9,788.8,780.2,785.1,1536851.0
