Date,Open,High,Low,Close,Volume
2025-01-07,4200.1,4224.85,4155.3,4162.05,396158.0
2025-01-08,4197.0,4197.0,4100.0,4138.1,438731.0
2025-01-09,4149.35,4164.4,4112.35,4141.25,340998.0
2025-01-10,4145.0,4164.0,4086.4,4122.2,355269.0
2025-01-13,4100.0,4121.95,3997.5,4043.65,801718.0
2025-01-14,4067.0,4134.25,4057.75,4102.65,242769.0
2025-01-15,4123.2,4157.2,4083.15,4111.9,281045.0
2025-01-16,4170.0,4175.0,4057.95,4074.1,349664.0
2025-01-17,4076.0,4125.0,4050.0,4098.0,211342.0
2025-01-20,4117.5,4117.5,4045.55,4092.1,254936.0
2025-01-21,4092.9,4119.0,4010.0,4024.8,287082.0
2025-01-22,4027.0,4072.0,4027.0,4055.7,272889.0
2025-01-23,4055.7,4115.0,4025.0,4100.35,282745.0
2025-01-24,4105.05,4125.0,4041.1,4051.9,216273.0
2025-01-27,4045.0,4074.8,4000.0,4015.95,328160.0
2025-01-28,4020.0,4062.3,4000.0,4026.35,444089.0
2025-01-29,4036.0,4114.8,4033.05,4072.45,479893.0
2025-01-30,4079.2,4187.0,4060.05,4177.8,807120.0
2025-01-31,4188.0,4372.8,4176.0,4339.15,1056018.0
2025-02-01,4330.0,4522.95,4236.05,4402.15,1141242.0
2025-02-03,4420.0,4430.0,4228.2,4286.65,846135.0
2025-02-04,4324.0,4350.0,4220.0,4237.1,554233.0
2025-02-05,4238.0,4290.0,4212.6,4270.4,408928.0
2025-02-06,4289.0,4334.65,4216.9,4230.05,576470.0
2025-02-07,4319.95,4319.95,4215.6,4274.65,1344288.0
2025-02-10,4306.3,4320.95,4170.1,4196.45,779450.0
2025-02-11,4200.0,4239.0,4071.0,4085.55,593081.0
2025-02-12,4007.0,4066.6,3955.05,4015.75,619474.0
2025-02-13,4005.0,4025.1,3945.1,3956.55,557075.0
2025-02-14,3960.05,3981.1,3850.0,3862.4,475952.0
2025-02-17,3845.05,3886.15,3757.65,3876.45,913565.0
2025-02-18,3880.0,3891.9,3810.0,3840.5,482022.0
2025-02-19,3840.9,3898.9,3815.0,3879.15,453662.0
2025-02-20,3864.5,3938.0,3855.5,3909.1,438563.0
2025-02-21,3900.0,3916.85,3828.65,3852.6,426337.0
2025-02-24,3839.85,3891.1,3800.1,3884.85,272543.0
2025-02-25,3877.0,3883.3,3817.1,3828.25,661184.0
2025-02-27,3808.15,3810.3,3725.25,3759.55,877741.0
2025-02-28,3745.6,3746.95,3662.15,3681.1,995134.0
2025-03-03,3644.05,3715.0,3617.0,3630.75,691809.0
2025-03-04,3625.0,3639.9,3495.0,3514.85,946922.0
2025-03-05,3515.0,3609.6,3513.5,3588.75,611959.0
2025-03-06,3629.5,3658.0,3582.7,3648.75,654829.0
2025-03-07,3664.0,3733.7,3625.0,3652.5,621576.0
2025-03-10,3653.0,3665.75,3575.7,3582.85,675889.0
2025-03-11,3579.0,3663.5,3552.75,3650.65,618870.0
2025-03-12,3650.65,3669.45,3597.0,3610.25,385877.0
2025-03-13,3625.0,3625.55,3524.35,3529.15,359751.0
2025-03-17,3486.0,3549.0,3461.6,3493.1,673556.0
2025-03-18,3500.0,3571.7,3500.0,3564.65,533589.0
2025-03-19,3585.0,3588.85,3514.15,3537.0,674188.0
2025-03-20,3579.0,3634.0,3561.25,3597.15,771668.0
2025-03-21,3629.0,3711.9,3611.75,3629.0,1195882.0
2025-03-24,3658.0,3687.35,3582.85,3626.35,663262.0
2025-03-25,3652.5,3675.7,3615.0,3627.95,544164.0
2025-03-26,3650.0,3669.3,3605.4,3645.95,755658.0
2025-03-27,3634.0,3789.0,3610.35,3772.05,1525094.0
2025-03-28,3779.0,3808.75,3707.35,3722.95,509889.0
2025-04-01,3707.35,3816.6,3707.35,3762.05,506307.0
2025-04-02,3770.0,3789.8,3732.9,3783.95,321687.0
2025-04-03,3780.0,3807.1,3735.65,3753.35,339509.0
2025-04-04,3744.95,3744.95,3632.55,3659.2,330498.0
2025-04-07,3478.95,3545.0,3344.0,3526.9,605866.0
2025-04-08,3600.0,3622.9,3510.25,3574.15,450859.0
2025-04-09,3590.0,3678.75,3538.0,3610.9,584571.0
2025-04-11,3620.45,3704.1,3620.45,3666.0,436704.0
2025-04-15,3749.0,3816.0,3686.5,3803.9,604277.0
2025-04-16,3809.0,3816.6,3742.0,3781.9,491227.0
2025-04-17,3781.9,3797.6,3664.3,3771.8,970749.0
2025-04-21,3794.0,3932.5,3756.0,3917.0,1031160.0
2025-04-22,3901.0,3902.9,3821.2,3833.6,927543.0
2025-04-23,3862.1,3954.2,3822.6,3940.5,800615.0
2025-04-24,3940.6,3988.0,3924.9,3954.5,1227984.0
2025-04-25,3960.0,3994.1,3839.9,3895.5,652719.0
2025-04-28,3895.0,3935.0,3846.5,3911.7,521342.0
2025-04-29,3935.5,3953.9,3846.4,3852.7,428581.0
2025-04-30,3852.7,3867.5,3806.5,3827.4,892342.0
2025-05-02,3803.6,3914.0,3725.0,3740.5,1042867.0
2025-05-05,3769.0,3794.5,3742.3,3767.6,640182.0
2025-05-06,3785.0,3908.0,3781.0,3872.6,1210118.0
2025-05-07,3820.0,3894.8,3813.6,3868.0,448141.0
2025-05-08,3869.0,3875.0,3775.7,3800.5,739365.0
2025-05-09,3735.0,3896.1,3735.0,3853.9,859973.0
2025-05-12,3929.9,3999.5,3910.0,3984.9,547435.0
2025-05-13,3999.0,4098.4,3957.5,4063.6,1197629.0
2025-05-14,4070.0,4107.8,3933.0,4067.2,1199813.0
2025-05-15,4083.0,4347.0,4067.2,4325.0,2629014.0
2025-05-16,4330.0,4363.0,4294.3,4345.3,765257.0
2025-05-19,4323.1,4454.6,4323.1,4387.7,753807.0
2025-05-20,4409.0,4437.2,4231.4,4241.6,842529.0
2025-05-21,4241.0,4288.9,4212.0,4263.8,396931.0
2025-05-22,4250.0,4284.0,4202.9,4276.3,394809.0
2025-05-23,4288.9,4335.0,4276.4,4308.8,461297.0
2025-05-26,4309.9,4418.3,4300.0,4359.4,765160.0
2025-05-27,4370.5,4374.9,4300.0,4338.2,411809.0
2025-05-28,4368.0,4383.4,4310.5,4362.2,424160.0
2025-05-29,4384.0,4384.0,4332.1,4356.6,369150.0
2025-05-30,4341.6,4380.0,4289.3,4309.3,914311.0
2025-06-02,4310.1,4318.7,4196.0,4232.3,771163.0
2025-06-03,4250.0,4280.5,4201.0,4208.6,417447.0
2025-06-04,4213.0,4240.7,4191.3,4200.6,353642.0
2025-06-05,4227.8,4227.8,4172.8,4178.9,394746.0
2025-06-06,4189.0,4296.9,4158.1,4268.0,551467.0
2025-06-09,4304.9,4360.0,4275.0,4349.4,495256.0
2025-06-10,4370.1,4392.0,4329.7,4379.0,469185.0
2025-06-11,4375.0,4486.7,4365.9,4410.3,1241569.0
2025-06-12,4410.3,4425.0,4340.0,4362.8,813687.0
2025-06-13,4266.1,4347.0,4251.4,4333.8,521000.0
2025-06-16,4316.0,4414.1,4312.5,4364.5,360242.0
2025-06-17,4369.0,4390.0,4333.8,4371.0,331648.0
2025-06-18,4352.0,4432.0,4350.0,4357.9,370443.0
2025-06-19,4374.9,4404.0,4350.3,4384.3,425692.0
2025-06-20,4380.5,4382.4,4204.9,4338.5,1159015.0
2025-06-23,4320.0,4324.7,4245.0,4253.1,580717.0
2025-06-24,4283.1,4330.0,4262.0,4292.5,469217.0
2025-06-25,4301.5,4357.9,4290.0,4300.8,412213.0
2025-06-26,4305.9,4324.9,4248.1,4278.0,795726.0
2025-06-27,4299.0,4349.9,4285.0,4320.3,543489.0
2025-06-30,4344.0,4344.0,4211.0,4237.1,871009.0
2025-07-01,4258.3,4264.0,4190.1,4226.0,480538.0
2025-07-02,4284.4,4324.6,4230.1,4243.7,808159.0
2025-07-03,4244.0,4350.0,4238.0,4310.6,650625.0
2025-07-04,4325.0,4374.7,4307.1,4345.0,437195.0
