Date,Open,High,Low,Close,Volume
2025-01-07,970.15,994.55,970.15,983.6,3581533.0
2025-01-08,985.9,986.0,967.1,981.05,3781895.0
2025-01-09,981.05,985.35,970.4,980.9,3134034.0
2025-01-10,971.75,975.0,933.05,937.6,5611356.0
2025-01-13,936.9,973.5,934.5,941.7,8752532.0
2025-01-14,945.1,979.3,945.1,962.1,5735697.0
2025-01-15,971.25,983.0,954.65,962.45,3633812.0
2025-01-16,967.0,990.65,967.0,975.35,3948431.0
2025-01-17,972.85,975.6,959.0,970.95,3066978.0
2025-01-20,966.2,980.45,948.1,970.7,4485164.0
2025-01-21,971.55,978.5,958.0,960.45,3369291.0
2025-01-22,964.45,977.55,949.15,970.95,2639472.0
2025-01-23,976.2,976.2,976.2,976.2,375588.0
2025-01-23,965.95,988.55,962.5,970.95,3359986.0
2025-01-24,970.85,973.0,948.25,950.8,2938649.0
2025-01-27,947.0,947.0,923.7,926.45,3907787.0
2025-01-28,937.35,948.95,925.7,934.15,5708478.0
2025-01-29,935.7,953.0,931.95,948.3,2571504.0
2025-01-30,948.3,967.4,946.1,957.05,4509409.0
2025-01-31,957.55,999.3,953.1,991.2,5365839.0
2025-02-01,977.0,1023.0,972.4,1009.4,6054296.0
2025-02-03,994.0,1023.95,990.1,1012.7,3655089.0
2025-02-04,1022.45,1053.9,1014.7,1047.15,9861468.0
2025-02-05,1052.4,1078.7,1052.4,1061.2,5000442.0
2025-02-06,1062.1,1076.75,1058.05,1065.55,3889634.0
2025-02-07,1061.5,1086.55,1061.5,1079.1,3975043.0
2025-02-10,1076.0,1082.0,1062.7,1068.0,4457091.0
2025-02-11,1063.5,1074.9,1047.65,1054.15,4109028.0
2025-02-12,1060.45,1063.95,1020.25,1039.65,4798340.0
2025-02-13,1039.5,1056.95,1025.4,1047.25,4539780.0
2025-02-14,1049.6,1058.1,1018.2,1024.4,4036016.0
2025-02-17,1024.4,1050.95,1013.1,1048.25,2795714.0
2025-02-18,1045.0,1051.5,1021.35,1024.1,2620716.0
2025-02-19,1024.1,1042.05,1015.9,1035.8,2464555.0
2025-02-20,1029.95,1049.9,1025.6,1047.65,1819683.0
2025-02-21,1041.55,1055.8,1038.95,1043.75,2589619.0
2025-02-24,1030.1,1038.75,1021.1,1029.15,3074297.0
2025-02-25,1028.2,1041.7,1026.35,1034.25,3628538.0
2025-02-27,1046.9,1063.3,1040.7,1046.7,5951737.0
2025-02-28,1040.0,1040.65,970.1,990.1,55666745.0
2025-03-03,978.95,986.3,947.0,984.0,6158061.0
2025-03-04,978.0,1003.6,966.95,987.6,3271190.0
2025-03-05,984.25,995.25,970.65,971.85,3944062.0
2025-03-06,976.0,984.1,962.2,971.7,3928358.0
2025-03-07,971.0,976.6,932.3,936.75,7737031.0
2025-03-10,895.0,913.35,881.1,900.5,16014401.0
2025-03-11,810.45,810.45,649.0,655.95,101075220.0
2025-03-12,630.0,697.65,606.0,684.7,108682122.0
2025-03-13,690.0,706.9,667.65,672.35,31592987.0
2025-03-17,705.0,709.9,675.0,677.4,22353235.0
2025-03-18,685.95,686.8,670.6,681.45,12117539.0
2025-03-19,685.0,700.8,682.55,692.7,11120576.0
2025-03-20,697.5,701.0,681.0,684.1,8918567.0
2025-03-21,685.0,693.85,672.3,686.9,14265415.0
2025-03-24,692.0,693.75,665.15,669.45,14649992.0
2025-03-25,670.2,672.85,633.6,637.05,18615476.0
2025-03-26,637.4,662.5,637.4,655.3,23506399.0
2025-03-27,655.3,676.75,640.5,673.55,21589495.0
2025-03-28,672.0,673.95,643.5,649.85,8807815.0
2025-04-01,649.0,689.8,646.85,682.7,14019630.0
2025-04-02,682.7,708.4,675.0,702.45,14993840.0
2025-04-03,694.95,714.7,693.5,709.4,6972769.0
2025-04-04,701.0,704.9,675.65,682.0,9627949.0
2025-04-07,637.0,678.65,637.0,675.9,9382614.0
2025-04-08,684.9,695.9,673.0,679.65,5639989.0
2025-04-09,679.65,683.3,670.25,678.55,4243562.0
2025-04-11,684.95,694.0,675.5,689.5,5019467.0
2025-04-15,705.0,741.0,693.05,735.9,12452925.0
2025-04-16,747.0,794.4,733.0,788.25,31252589.0
2025-04-17,788.25,801.0,777.3,794.7,13986710.0
2025-04-21,802.0,841.9,798.35,828.2,15639685.0
2025-04-22,790.0,808.0,775.4,787.5,25698945.0
2025-04-23,797.45,805.0,782.0,794.2,10657940.0
