Date,Open,High,Low,Close,Volume
2025-01-07,1945.0,1958.55,1923.65,1930.85,4294832.0
2025-01-08,1930.0,1938.6,1888.75,1933.15,5482050.0
2025-01-09,1934.05,1951.85,1910.55,1917.3,6833503.0
2025-01-10,1937.0,1977.8,1932.25,1966.95,8036913.0
2025-01-13,1956.0,1982.8,1949.0,1962.2,5804152.0
2025-01-14,1968.85,1971.8,1931.1,1940.05,5792162.0
2025-01-15,1947.0,1958.05,1937.1,1949.65,2985439.0
2025-01-16,1965.95,1966.95,1916.85,1928.45,7533579.0
2025-01-17,1851.0,1858.0,1812.0,1815.45,16409953.0
2025-01-20,1822.95,1827.95,1793.15,1813.3,4333011.0
2025-01-21,1819.05,1831.65,1793.05,1800.7,7169109.0
2025-01-22,1807.4,1865.8,1805.15,1856.45,8373913.0
2025-01-23,1868.6,1868.6,1868.6,1868.6,485672.0
2025-01-23,1858.0,1879.55,1852.7,1865.45,5907471.0
2025-01-24,1865.5,1894.9,1864.25,1875.45,4887027.0
2025-01-27,1848.75,1863.0,1812.0,1822.0,7652371.0
2025-01-28,1830.0,1863.5,1824.9,1829.75,6999495.0
2025-01-29,1845.0,1888.65,1840.5,1881.25,5145155.0
2025-01-30,1873.15,1887.2,1844.0,1859.95,7336056.0
2025-01-31,1871.0,1897.45,1871.0,1879.8,5820470.0
2025-02-01,1880.3,1890.6,1846.0,1851.35,1701402.0
2025-02-03,1836.0,1876.55,1832.4,1863.3,4823228.0
2025-02-04,1889.0,1911.2,1875.0,1898.8,7334787.0
2025-02-05,1906.0,1919.7,1894.3,1897.05,4996744.0
2025-02-06,1917.0,1924.0,1900.0,1915.65,4765255.0
2025-02-07,1919.3,1923.7,1889.45,1903.65,4126260.0
2025-02-10,1905.0,1905.0,1878.6,1880.3,3828734.0
2025-02-11,1883.1,1903.0,1870.0,1875.65,4411601.0
2025-02-12,1885.0,1894.6,1847.0,1863.15,5633947.0
2025-02-13,1868.5,1873.5,1835.65,1843.25,5237744.0
2025-02-14,1854.0,1859.3,1828.35,1856.4,5292961.0
2025-02-17,1838.55,1852.75,1822.15,1842.3,4428956.0
2025-02-18,1842.3,1861.65,1837.6,1851.95,4365260.0
2025-02-19,1847.4,1849.2,1805.9,1810.8,4611411.0
2025-02-20,1805.55,1831.0,1805.55,1825.15,2218020.0
2025-02-21,1821.8,1829.85,1806.2,1815.0,3379879.0
2025-02-24,1800.05,1808.0,1750.25,1764.1,7594720.0
2025-02-25,1745.15,1778.45,1745.15,1767.7,5092963.0
2025-02-27,1755.2,1775.85,1751.1,1764.3,5757079.0
2025-02-28,1755.05,1755.1,1682.45,1687.7,12182167.0
2025-03-03,1692.3,1728.6,1692.3,1708.6,7504969.0
