Date,Open,High,Low,Close,Volume
2025-01-07,306.0,310.7,303.0,305.05,10137739.0
2025-01-08,306.15,307.85,303.0,306.65,6907996.0
2025-01-09,306.65,306.9,303.65,305.25,8244909.0
2025-01-10,304.05,305.25,298.5,299.7,6540783.0
2025-01-13,295.0,298.55,286.75,287.6,19474228.0
2025-01-14,287.75,293.05,286.8,290.25,15954608.0
2025-01-15,295.0,302.5,291.1,298.65,12198882.0
2025-01-16,299.0,301.6,296.6,297.65,11694289.0
2025-01-17,297.65,305.0,295.7,302.6,7593230.0
2025-01-20,302.6,308.8,301.95,306.25,9435937.0
2025-01-21,307.0,309.95,301.5,302.35,13911546.0
2025-01-22,302.0,302.3,295.8,297.55,9723333.0
2025-01-23,297.5,299.6,293.6,294.35,12228286.0
2025-01-24,295.3,302.5,294.35,295.85,11142914.0
2025-01-27,295.0,295.0,283.75,287.0,13477947.0
2025-01-28,287.15,288.8,279.35,283.95,11298068.0
2025-01-29,285.35,289.15,283.3,287.85,4800024.0
2025-01-30,287.85,297.1,287.85,295.35,10969499.0
2025-01-31,297.0,303.45,295.9,301.65,14141459.0
2025-02-01,301.65,305.35,288.65,289.85,6945157.0
2025-02-03,290.0,292.0,278.0,283.8,14978897.0
2025-02-04,281.0,286.4,272.1,285.65,19836427.0
2025-02-05,285.6,290.75,284.55,285.2,15337191.0
2025-02-06,287.5,290.95,279.75,281.15,21418561.0
2025-02-07,273.1,281.9,270.0,278.15,17193482.0
2025-02-10,275.0,276.0,268.1,268.7,16709670.0
2025-02-11,268.7,268.8,260.0,261.45,22083955.0
2025-02-12,259.5,262.1,254.0,257.05,17861265.0
2025-02-13,257.25,261.35,256.1,259.15,12257226.0
2025-02-14,260.4,261.5,254.75,257.35,11339563.0
2025-02-17,256.9,264.0,252.2,263.2,8332653.0
2025-02-18,263.85,267.9,260.2,266.95,10483635.0
2025-02-19,262.5,268.5,262.3,263.05,14602009.0
2025-02-20,262.75,266.45,261.3,265.75,15312926.0
2025-02-21,265.3,265.75,259.4,261.9,10757038.0
2025-02-24,258.0,261.8,257.25,259.15,14599185.0
2025-02-25,258.8,259.95,254.9,255.75,21287363.0
2025-02-27,254.0,257.45,253.45,256.25,13614799.0
2025-02-28,255.9,257.0,247.3,250.85,38512868.0
2025-03-03,253.0,253.8,248.5,252.5,9873539.0
2025-03-04,250.0,257.15,249.45,254.0,11947033.0
2025-03-05,256.95,267.2,255.75,264.4,14536637.0
2025-03-06,265.15,267.3,260.7,266.65,11926868.0
2025-03-07,266.0,268.65,261.6,263.3,10043068.0
2025-03-10,261.05,274.25,261.05,271.3,30233763.0
2025-03-11,270.0,271.85,265.85,267.3,9255499.0
2025-03-12,270.7,272.4,263.6,267.1,11875548.0
2025-03-13,269.8,270.65,265.5,267.65,9270442.0
2025-03-17,270.0,270.65,264.95,267.35,11987667.0
2025-03-18,269.15,272.4,267.3,270.8,8899126.0
2025-03-19,272.0,278.3,269.8,277.2,13089950.0
2025-03-20,283.5,283.55,277.05,280.35,13710249.0
2025-03-21,281.0,285.15,280.05,283.1,26003527.0
2025-03-24,285.0,293.95,284.45,291.85,19966817.0
2025-03-25,291.0,295.25,287.65,291.0,16983852.0
2025-03-26,291.7,296.75,289.55,290.85,20367015.0
2025-03-27,289.0,297.25,289.0,295.5,37203166.0
2025-03-28,293.9,294.25,288.3,290.35,10834900.0
2025-04-01,289.6,296.95,287.0,289.3,11603556.0
2025-04-02,286.85,289.75,284.5,286.75,11679536.0
2025-04-03,289.35,299.95,285.1,299.1,23478876.0
2025-04-04,300.0,300.9,292.1,293.9,21020875.0
2025-04-07,283.6,293.9,282.3,289.4,22847548.0
2025-04-08,291.95,294.0,284.65,288.95,20831596.0
2025-04-09,289.95,299.5,289.3,293.4,21342531.0
2025-04-11,293.25,305.0,293.25,304.1,19831004.0
2025-04-15,307.2,310.45,303.7,304.55,16563441.0
2025-04-16,304.45,307.0,302.8,305.75,7032401.0
2025-04-17,305.45,309.8,302.0,309.0,8528993.0
2025-04-21,310.0,322.0,308.45,320.0,13369014.0
2025-04-22,319.75,319.75,312.1,312.55,10027332.0
2025-04-23,314.15,316.1,309.45,314.95,8225575.0
2025-04-24,314.9,315.85,312.85,314.4,8021180.0
2025-04-25,313.0,315.4,303.4,306.5,11475773.0
2025-04-28,304.2,310.95,303.55,308.55,7314824.0
2025-04-29,308.55,310.8,301.2,302.95,14678005.0
2025-04-30,304.45,310.0,301.9,307.45,17619987.0
2025-05-02,305.5,309.0,302.3,303.95,8428889.0
2025-05-05,304.8,310.7,304.65,308.2,4342960.0
2025-05-06,307.6,310.45,305.55,307.6,9124804.0
2025-05-07,308.0,313.15,307.0,311.1,14679327.0
2025-05-08,313.4,317.4,304.0,308.25,19253478.0
2025-05-09,300.0,303.05,296.4,299.3,11981497.0
2025-05-12,304.05,311.1,304.05,309.05,7145884.0
2025-05-13,305.0,308.75,298.0,298.45,17988336.0
2025-05-14,299.2,300.55,294.05,295.95,10359258.0
2025-05-15,295.9,300.4,291.05,299.65,22640626.0
2025-05-16,300.0,302.2,295.5,300.2,16763668.0
2025-05-19,302.0,304.5,299.0,304.05,12575289.0
2025-05-20,304.4,305.3,297.1,297.9,21339095.0
2025-05-21,297.75,302.25,295.65,296.15,11997632.0
2025-05-22,295.9,296.35,286.55,290.9,26158839.0
2025-05-23,292.0,298.75,291.75,298.1,9872024.0
2025-05-26,300.05,303.8,295.75,296.7,16469130.0
2025-05-27,297.0,297.6,292.2,294.55,17074710.0
2025-05-28,294.55,295.65,290.5,291.15,10099453.0
2025-05-29,291.35,293.9,291.35,293.1,9773818.0
2025-05-30,292.0,294.65,288.25,289.75,21788566.0
2025-06-02,290.3,293.65,288.4,293.05,7255782.0
2025-06-03,292.5,295.4,287.75,288.25,10989055.0
2025-06-04,288.25,289.8,287.05,288.55,8580196.0
2025-06-05,291.0,295.25,290.1,294.25,13110486.0
2025-06-06,293.55,297.0,292.95,295.8,7935393.0
2025-06-09,298.0,301.15,296.15,300.5,8666186.0
2025-06-10,300.55,301.8,298.25,301.05,7273892.0
2025-06-11,301.1,301.4,294.0,295.45,10941604.0
2025-06-12,295.15,295.8,288.5,289.0,14071159.0
2025-06-13,282.55,286.45,281.8,285.5,16028417.0
2025-06-16,287.95,290.5,286.3,288.65,11067299.0
2025-06-17,288.65,290.45,287.2,288.55,7286868.0
2025-06-18,287.5,288.3,285.5,287.3,11904855.0
2025-06-19,286.8,287.65,285.3,286.45,13573824.0
2025-06-20,285.55,294.5,285.05,293.1,33014151.0
2025-06-23,291.4,293.45,288.1,290.25,6833477.0
2025-06-24,293.45,294.7,285.35,285.95,15007849.0
2025-06-25,286.5,291.1,286.5,290.45,10838516.0
2025-06-26,290.8,294.25,289.75,293.5,10232220.0
2025-06-27,295.0,300.7,294.15,299.25,15523628.0
2025-06-30,300.4,301.0,296.25,299.9,8415241.0
2025-07-01,301.0,301.5,297.0,297.55,12349270.0
2025-07-02,297.55,298.75,293.4,294.85,10826029.0
2025-07-03,298.4,298.95,293.1,293.7,10373094.0
2025-07-04,293.7,295.15,291.65,294.0,14193884.0
