Date,Open,High,Low,Close,Volume
2025-01-07,776.0,796.95,772.5,793.25,15547971.0
2025-01-08,792.6,797.0,781.65,794.95,11861066.0
2025-01-09,800.0,810.0,769.45,780.1,17948464.0
2025-01-10,780.05,787.95,766.8,774.65,11144005.0
2025-01-13,769.0,773.55,748.8,751.0,12230175.0
2025-01-14,751.5,779.0,751.5,770.5,11377053.0
2025-01-15,771.0,785.0,756.05,763.6,10500910.0
2025-01-16,769.9,781.0,767.35,774.35,8680163.0
2025-01-17,773.9,785.5,772.25,779.75,7007239.0
2025-01-20,780.0,783.0,767.0,774.35,9956101.0
2025-01-21,775.0,786.65,758.4,760.75,11657178.0
2025-01-22,764.15,765.45,731.0,742.75,12418474.0
2025-01-23,742.75,759.7,739.8,752.5,7916689.0
2025-01-24,750.05,754.15,732.2,734.1,9513166.0
2025-01-27,732.95,732.95,709.3,713.05,14123990.0
2025-01-28,716.5,740.85,707.5,728.25,16104653.0
2025-01-29,731.5,755.0,726.55,752.5,12461404.0
2025-01-30,709.0,710.7,683.2,696.85,59390998.0
2025-01-31,706.0,717.0,696.45,716.1,19157717.0
2025-02-01,719.5,724.75,700.9,706.55,14087493.0
2025-02-03,700.0,700.0,686.0,687.45,17806760.0
2025-02-04,696.3,713.35,693.75,710.55,16792005.0
2025-02-05,711.0,725.45,710.7,717.05,12907325.0
2025-02-06,723.0,723.4,708.15,709.65,10016927.0
2025-02-07,711.0,715.95,703.1,706.75,12259132.0
2025-02-10,709.75,709.9,693.05,696.0,10981963.0
2025-02-11,696.0,697.0,675.1,677.75,11939990.0
2025-02-12,680.0,687.55,667.05,684.35,12312424.0
2025-02-13,684.35,693.15,679.35,683.85,8490769.0
2025-02-14,685.95,690.95,669.15,680.65,9968127.0
2025-02-17,678.0,690.7,667.05,686.6,10313575.0
2025-02-18,686.6,687.95,672.15,682.4,7810143.0
2025-02-19,681.75,690.95,675.05,681.0,9986815.0
2025-02-20,680.0,692.85,675.0,689.8,8673335.0
2025-02-21,686.0,690.0,671.1,673.2,14577524.0
2025-02-24,670.0,676.6,666.0,668.25,8861769.0
2025-02-25,667.75,672.5,660.0,661.6,10251257.0
2025-02-27,662.0,665.0,645.65,648.55,12281857.0
2025-02-28,645.0,645.0,618.45,620.65,20477619.0
2025-03-03,620.65,626.85,606.3,621.15,18362700.0
2025-03-04,613.45,629.15,613.0,619.2,11878225.0
2025-03-05,619.0,641.6,618.6,640.8,12373061.0
2025-03-06,653.25,655.95,635.6,639.65,16991501.0
2025-03-07,640.0,651.5,635.0,648.3,10123450.0
2025-03-10,648.3,654.25,643.35,648.15,10309166.0
2025-03-11,640.0,651.15,638.45,648.05,9534750.0
2025-03-12,654.5,671.9,652.25,668.3,18732785.0
2025-03-13,670.65,671.85,649.6,655.5,14004345.0
2025-03-17,665.05,666.45,657.45,661.05,9174408.0
2025-03-18,665.0,681.7,663.9,680.05,11236084.0
2025-03-19,685.4,685.75,678.55,682.25,9338414.0
2025-03-20,685.0,692.7,679.0,690.05,9712600.0
2025-03-21,693.0,705.0,688.55,702.95,14823483.0
2025-03-24,710.0,717.5,702.05,713.5,11671359.0
2025-03-25,719.0,723.05,706.35,710.3,13617465.0
2025-03-26,710.3,717.85,707.0,708.25,9363180.0
2025-03-27,668.0,676.6,661.1,668.55,34238666.0
2025-03-28,671.85,684.95,669.3,674.45,16013687.0
2025-04-01,670.55,681.85,665.75,671.85,9594669.0
2025-04-02,674.95,675.35,662.1,671.9,8025225.0
2025-04-03,660.0,669.0,652.5,653.95,13473832.0
2025-04-04,650.0,650.0,610.0,613.85,26621179.0
2025-04-07,560.5,582.0,535.75,579.75,49463598.0
2025-04-08,591.2,606.6,584.2,588.85,20987855.0
2025-04-09,588.0,594.9,581.05,582.9,17483412.0
2025-04-11,610.0,612.8,591.0,595.05,21055814.0
2025-04-15,614.0,628.3,612.65,622.2,19722072.0
2025-04-16,625.0,625.0,613.6,616.05,12318376.0
2025-04-17,616.05,627.0,608.25,621.55,14342652.0
2025-04-21,624.6,635.75,620.2,630.05,12785568.0
2025-04-22,630.25,633.95,626.2,630.85,10292748.0
2025-04-23,635.95,661.5,633.35,659.9,23390570.0
2025-04-24,660.1,671.0,660.1,668.35,15172229.0
2025-04-25,668.35,673.0,651.5,655.25,13207043.0
2025-04-28,654.3,669.6,652.55,668.15,10243493.0
2025-04-29,671.45,682.9,661.6,665.6,13754685.0
2025-04-30,667.0,667.0,641.1,644.25,19485917.0
2025-05-02,641.0,661.35,635.55,652.0,13141726.0
2025-05-05,662.95,666.65,655.85,661.55,8868484.0
2025-05-06,661.55,663.2,645.5,648.2,12718175.0
2025-05-07,642.0,682.5,641.15,680.3,30390515.0
2025-05-08,700.0,704.5,677.2,682.85,29315465.0
2025-05-09,667.5,711.0,666.0,708.5,40183276.0
2025-05-12,728.0,732.0,711.2,720.8,20133616.0
2025-05-13,720.8,726.0,703.25,707.7,16125700.0
2025-05-14,690.0,708.0,686.0,698.95,31505402.0
2025-05-15,698.75,729.8,696.15,728.1,28634074.0
2025-05-16,730.0,742.0,725.55,730.7,20631512.0
2025-05-19,732.0,738.1,728.0,729.5,10460217.0
2025-05-20,730.0,737.75,717.0,718.9,14472506.0
2025-05-21,719.0,729.5,718.0,726.8,8998596.0
2025-05-22,725.0,725.0,710.65,717.45,10046820.0
2025-05-23,718.75,721.8,715.0,718.25,7915166.0
2025-05-26,722.0,738.0,721.2,729.0,13017400.0
2025-05-27,729.0,729.35,715.2,716.45,12223125.0
2025-05-28,720.0,722.0,716.2,717.95,7568961.0
2025-05-29,724.5,728.7,720.0,724.45,8838921.0
2025-05-30,724.45,728.55,712.5,719.5,14533919.0
2025-06-02,717.0,719.0,707.4,711.6,9712446.0
2025-06-03,715.0,718.35,702.3,703.85,9161608.0
2025-06-04,701.8,715.45,698.4,709.15,11287991.0
2025-06-05,712.8,714.45,704.0,710.15,10203331.0
2025-06-06,710.0,715.9,701.2,711.0,11975812.0
2025-06-09,715.0,726.0,713.1,717.8,9900412.0
2025-06-10,721.0,734.75,715.35,732.25,19151889.0
2025-06-11,734.95,744.0,730.15,736.4,12626754.0
2025-06-12,737.0,737.7,711.25,715.35,12585149.0
2025-06-13,700.0,714.95,698.3,712.05,10516625.0
2025-06-16,711.0,714.0,672.95,686.65,31246328.0
2025-06-17,686.1,686.15,672.0,674.75,17112867.0
2025-06-18,671.85,679.35,668.0,670.25,12556088.0
2025-06-19,670.25,676.3,666.65,672.3,10895470.0
2025-06-20,673.4,678.8,670.1,676.2,11393470.0
2025-06-23,670.0,676.0,666.1,671.25,10265601.0
2025-06-24,678.0,686.5,672.0,673.65,15359947.0
2025-06-25,676.0,679.0,673.45,674.5,10456015.0
2025-06-26,677.0,683.7,674.45,682.75,10104914.0
2025-06-27,685.0,691.45,683.0,686.9,7198028.0
2025-06-30,688.9,691.9,685.0,688.0,6960104.0
2025-07-01,691.1,693.85,680.4,683.8,6866073.0
2025-07-02,683.8,692.45,680.65,688.55,8034013.0
2025-07-03,693.85,696.95,688.5,690.4,9668110.0
2025-07-04,691.0,692.85,686.35,689.05,4942900.0
