Date,Open,High,Low,Close,Volume
2025-01-07,132.78,133.88,132.01,133.38,24239451.0
2025-01-08,133.93,134.24,131.77,132.64,31570331.0
2025-01-09,132.0,132.4,129.7,129.93,31903107.0
2025-01-10,129.93,130.39,126.7,127.43,34855510.0
2025-01-13,126.0,126.5,122.62,122.93,38968332.0
2025-01-14,122.94,127.64,122.94,126.93,36877365.0
2025-01-15,128.0,128.31,125.78,126.53,18773125.0
2025-01-16,128.0,128.47,126.56,127.81,22164393.0
2025-01-17,127.9,131.16,127.64,130.28,27421959.0
2025-01-20,130.99,132.1,128.91,131.66,20571916.0
2025-01-21,132.06,132.4,129.25,129.7,32238213.0
2025-01-22,130.25,130.35,127.12,128.92,27505569.0
2025-01-23,127.85,130.75,127.7,130.37,20722538.0
2025-01-24,130.5,133.2,129.31,129.74,37092106.0
2025-01-27,129.02,129.45,125.74,126.37,24650571.0
2025-01-28,126.37,130.49,124.74,128.62,40373804.0
2025-01-29,129.0,131.34,128.55,130.8,16674706.0
2025-01-30,130.8,132.15,130.1,131.12,25256096.0
2025-01-31,131.12,135.0,129.93,134.62,26689228.0
2025-02-01,135.0,135.5,130.25,132.97,21173846.0
2025-02-03,131.29,132.51,127.81,131.82,27765357.0
2025-02-04,132.8,134.34,131.87,133.42,25032519.0
2025-02-05,133.15,135.39,133.08,134.4,16958362.0
2025-02-06,134.5,134.87,132.02,132.54,22408168.0
2025-02-07,133.3,138.75,132.56,138.31,52950146.0
2025-02-10,138.1,138.1,133.0,134.04,26120805.0
2025-02-11,133.0,134.34,129.7,130.11,23635428.0
2025-02-12,129.35,133.29,128.31,132.28,37927696.0
2025-02-13,132.28,137.69,131.86,136.25,52036196.0
2025-02-14,136.25,139.25,133.33,134.47,41469242.0
2025-02-17,132.91,134.8,130.73,134.29,21189637.0
2025-02-18,134.29,134.9,131.75,134.54,23957576.0
2025-02-19,134.5,136.88,133.03,135.76,18447487.0
2025-02-20,135.27,138.36,135.0,138.04,24139808.0
2025-02-21,137.91,141.6,137.15,140.76,41987785.0
2025-02-24,138.81,140.66,136.66,137.65,25193205.0
2025-02-25,138.49,139.35,136.7,137.07,23575603.0
2025-02-27,137.21,138.99,135.88,138.69,30747044.0
2025-02-28,137.8,137.8,134.06,137.2,45540594.0
2025-03-03,137.0,139.05,134.31,138.57,31154401.0
2025-03-04,136.15,140.94,135.81,139.34,28634645.0
2025-03-05,139.0,146.49,139.0,146.1,62109377.0
2025-03-06,146.79,152.2,146.2,150.44,79121467.0
2025-03-07,149.74,152.45,149.27,151.56,81821791.0
2025-03-10,151.56,154.24,150.41,151.05,54450331.0
2025-03-11,148.1,151.7,148.0,150.75,35916900.0
2025-03-12,151.0,152.28,147.7,150.3,26377549.0
2025-03-13,152.0,153.56,150.02,150.88,48286431.0
2025-03-17,151.99,152.64,150.9,151.81,35879781.0
2025-03-18,153.0,154.83,152.22,154.66,38125586.0
2025-03-19,156.8,159.2,156.5,158.6,66161413.0
2025-03-20,160.0,160.1,156.65,159.04,39889517.0
2025-03-21,159.03,159.75,156.82,157.28,49184821.0
2025-03-24,158.0,159.0,157.11,158.42,30905773.0
2025-03-25,159.0,159.0,156.05,156.73,28467187.0
2025-03-26,156.2,157.54,155.01,155.81,23182869.0
2025-03-27,154.8,156.1,154.2,155.42,25909068.0
2025-03-28,155.38,156.91,153.37,154.24,24589315.0
2025-04-01,152.07,155.34,152.07,153.12,29142122.0
2025-04-02,154.0,156.25,152.27,154.69,24977582.0
2025-04-03,153.0,155.97,152.6,153.62,15117526.0
2025-04-04,152.62,152.99,140.0,140.39,80846143.0
2025-04-07,128.0,130.35,125.33,129.48,121806340.0
2025-04-08,134.89,136.2,128.02,130.28,68999181.0
2025-04-09,130.0,130.0,125.3,127.18,73399980.0
2025-04-11,134.67,134.7,130.49,133.42,73706472.0
2025-04-15,135.6,137.0,134.84,136.41,38967608.0
2025-04-16,136.41,137.6,134.62,136.97,42684087.0
2025-04-17,134.4,137.96,133.7,137.14,62282856.0
2025-04-21,137.65,140.3,137.05,139.18,26503486.0
2025-04-22,142.0,142.84,137.7,138.16,58429662.0
2025-04-23,139.39,141.5,137.32,141.16,37851304.0
2025-04-24,140.7,141.88,140.28,141.52,23061444.0
2025-04-25,142.0,143.45,138.02,138.85,37764696.0
2025-04-28,138.54,142.6,138.38,142.07,26971589.0
2025-04-29,142.07,143.3,140.92,141.5,25758449.0
2025-04-30,141.45,141.56,138.0,140.08,29205042.0
2025-05-02,140.0,143.1,139.45,141.18,34852288.0
2025-05-05,141.57,142.7,141.2,142.08,17213477.0
2025-05-06,142.08,145.4,141.54,144.44,42658262.0
2025-05-07,142.2,146.95,142.2,146.0,34674594.0
2025-05-08,146.0,146.66,142.85,143.67,29687927.0
2025-05-09,140.99,143.27,140.51,142.78,21875453.0
2025-05-12,145.61,151.95,144.5,151.63,47087413.0
2025-05-13,152.0,152.99,149.01,149.43,54389876.0
2025-05-14,151.0,157.15,151.0,155.31,60002060.0
2025-05-15,155.5,157.84,154.3,157.35,57066105.0
2025-05-16,157.35,158.15,157.0,157.55,22884754.0
2025-05-19,158.0,158.14,156.13,157.57,21839582.0
2025-05-20,158.35,162.1,158.0,158.69,58061639.0
2025-05-21,159.45,161.85,158.53,161.64,36044599.0
2025-05-22,160.98,163.6,160.36,161.29,60715453.0
2025-05-23,161.6,163.53,161.5,162.97,29483665.0
2025-05-26,163.1,165.55,162.05,162.51,25581584.0
