Date,Open,High,Low,Close,Volume
2025-01-07,521.0,548.65,520.0,544.45,4787940.0
2025-01-08,541.15,543.4,531.65,539.55,1559514.0
2025-01-09,541.95,554.65,539.7,545.45,2805890.0
2025-01-10,545.9,555.75,534.5,548.85,1992839.0
2025-01-13,546.25,549.0,530.95,533.65,1770971.0
2025-01-14,534.95,542.95,531.3,541.85,1831287.0
2025-01-15,544.9,552.0,543.15,546.9,901487.0
2025-01-16,546.95,552.95,545.25,546.3,813698.0
2025-01-17,545.0,557.65,543.5,551.7,1461267.0
2025-01-20,551.7,555.0,545.35,552.85,812869.0
2025-01-21,557.0,559.9,543.5,544.25,1708101.0
2025-01-22,548.0,548.0,531.6,542.7,1191929.0
2025-01-23,542.5,559.75,542.05,557.85,1477011.0
2025-01-24,559.95,560.45,550.0,552.0,1591661.0
2025-01-27,548.95,550.4,536.2,542.35,2486727.0
2025-01-28,546.0,546.5,536.1,538.65,2048155.0
2025-01-29,542.0,555.95,539.3,553.1,2181049.0
2025-01-30,556.0,578.3,554.6,566.95,2784958.0
2025-01-31,573.0,617.8,567.75,603.75,8663742.0
2025-02-01,609.8,617.8,597.05,604.0,5961908.0
2025-02-03,610.0,636.8,607.55,630.25,12713558.0
2025-02-04,637.5,641.55,625.0,636.9,3541038.0
2025-02-05,636.0,649.45,632.0,645.45,3372838.0
2025-02-06,644.0,646.85,626.45,644.75,3885141.0
2025-02-07,642.05,648.7,635.1,641.35,2340663.0
2025-02-10,641.25,643.0,631.8,634.95,1932363.0
2025-02-10,641.0,641.0,641.0,641.0,780000.0
2025-02-11,635.0,636.8,608.2,610.7,2525324.0
2025-02-12,610.7,624.3,594.45,620.5,2315031.0
2025-02-13,620.5,638.9,615.0,629.75,3181044.0
2025-02-14,631.0,633.9,610.25,618.35,3746024.0
2025-02-17,618.2,633.75,609.9,632.2,1481549.0
2025-02-18,633.0,634.35,625.2,630.8,1409475.0
2025-02-19,629.85,651.7,621.0,650.05,2762726.0
