Date,Open,High,Low,Close,Volume
2025-01-07,294.3,297.5,291.3,294.05,7381943.0
2025-01-08,293.0,298.45,289.3,297.55,7937785.0
2025-01-09,297.0,298.0,291.35,292.3,7964702.0
2025-01-10,294.3,303.25,294.3,300.55,19505556.0
2025-01-13,298.95,299.25,290.25,291.85,9541248.0
2025-01-14,291.8,294.55,286.55,292.85,7670070.0
2025-01-15,293.0,294.7,289.7,292.65,4662694.0
2025-01-16,295.9,296.5,286.7,288.05,10345666.0
2025-01-17,287.8,287.8,280.5,281.95,9358955.0
2025-01-20,302.0,305.4,296.95,300.25,39380165.0
2025-01-21,302.4,305.85,297.8,298.35,15619474.0
2025-01-22,299.35,310.0,299.35,309.1,30859317.0
2025-01-23,311.1,324.6,310.65,317.7,39904371.0
2025-01-24,319.0,322.5,316.6,320.1,17479586.0
2025-01-27,317.8,319.15,306.75,307.95,12372895.0
2025-01-28,304.0,307.6,301.55,303.6,12077491.0
2025-01-29,305.05,314.7,305.05,312.45,16338112.0
2025-01-30,311.0,313.7,305.95,309.0,9984186.0
2025-01-31,311.7,315.7,309.55,311.9,15597644.0
2025-02-01,312.55,313.25,303.35,304.8,6046117.0
2025-02-03,303.0,314.0,300.3,313.6,14877076.0
2025-02-04,318.0,318.85,313.35,316.25,15366864.0
2025-02-05,317.8,321.45,314.9,317.1,9628027.0
2025-02-06,320.0,323.6,314.55,317.95,15062390.0
2025-02-07,319.0,319.0,314.0,318.0,8589587.0
2025-02-10,318.8,321.0,315.85,319.05,12304840.0
2025-02-11,319.5,320.4,311.6,313.0,10627890.0
2025-02-12,313.45,315.75,309.35,310.2,9668342.0
2025-02-13,310.3,313.65,306.95,308.55,8832731.0
2025-02-14,310.05,312.4,304.55,308.1,7371341.0
2025-02-17,308.1,310.3,302.0,305.35,7507772.0
2025-02-18,305.35,312.75,305.35,312.2,10368789.0
2025-02-19,311.25,316.5,308.3,314.1,7835672.0
2025-02-20,311.2,314.3,310.25,313.3,7697134.0
2025-02-21,312.8,312.8,305.05,306.35,8722925.0
2025-02-24,302.95,303.3,293.35,295.05,12600963.0
2025-02-25,294.35,296.3,290.1,291.3,10810040.0
2025-02-27,294.0,295.8,291.35,294.5,15555649.0
2025-02-28,294.0,294.0,277.0,277.65,17458839.0
2025-03-03,279.45,286.35,279.3,283.55,11471554.0
2025-03-04,279.0,283.1,276.3,280.0,9331785.0
2025-03-05,281.4,286.95,278.65,285.1,10285712.0
2025-03-06,288.45,292.0,283.5,285.9,9782051.0
2025-03-07,287.4,287.7,282.9,284.8,8097300.0
2025-03-10,284.45,285.65,277.95,280.9,8165123.0
2025-03-11,277.0,279.3,273.2,277.75,8602609.0
2025-03-12,277.7,277.7,262.2,268.55,18584311.0
2025-03-13,268.55,271.1,263.35,264.0,8683943.0
2025-03-17,264.0,265.2,258.9,259.85,12697930.0
2025-03-18,261.75,263.05,259.4,261.25,11450247.0
2025-03-19,262.0,266.5,256.25,265.7,14044300.0
2025-03-20,269.2,273.95,267.5,268.0,17038774.0
2025-03-21,264.0,269.55,260.2,264.3,22659168.0
2025-03-24,267.05,271.65,265.4,269.4,9269617.0
2025-03-25,272.0,274.7,269.35,271.0,12563930.0
2025-03-26,272.0,272.25,266.75,267.4,7308412.0
2025-03-27,270.0,273.55,269.6,272.2,14783522.0
